date,symbol,open,high,low,close,volume,amount,turnover
2015-01-05,600050,4.04,4.38,3.99,4.27,831254400.0,4274376192.0,0.03921640930031965
2015-01-06,600050,4.19,4.27,4.1,4.2,563469760.0,2905527296.0,0.026583030100668197
2015-01-07,600050,4.15,4.39,4.14,4.36,615626688.0,3246405632.0,0.029043657600859838
2015-01-08,600050,4.37,4.37,4.08,4.1,548668480.0,2829286144.0,0.025884744407806137
2015-01-09,600050,4.06,4.24,4.04,4.05,514900896.0,2617789184.0,0.024291678079102284
2015-01-12,600050,4.04,4.11,3.87,3.94,410938272.0,2012298496.0,0.019386993286192634
2015-01-13,600050,3.91,3.98,3.89,3.94,209982800.0,1018540736.0,0.009906439509766399
2015-01-14,600050,3.93,3.97,3.85,3.88,232159888.0,1118285952.0,0.010952696540222065
2015-01-15,600050,3.88,4.05,3.86,4.04,303983296.0,1477892608.0,0.01434113714934468
2015-01-16,600050,4.06,4.1,4.01,4.09,263942032.0,1321260928.0,0.012452095000603987
2015-01-19,600050,3.85,3.94,3.68,3.69,444211456.0,2073733888.0,0.02095673511549164
2015-01-20,600050,3.72,3.81,3.67,3.75,290367360.0,1336615808.0,0.013698772887353456
2015-01-21,600050,3.78,3.94,3.75,3.9,335121600.0,1585277696.0,0.015810160921828506
2015-01-22,600050,3.91,3.93,3.84,3.91,223912816.0,1072077120.0,0.010563621245004132
2015-01-23,600050,3.91,3.98,3.87,3.89,250063520.0,1207768192.0,0.011797343089430467
2015-01-26,600050,3.88,3.93,3.86,3.92,170142816.0,814861184.0,0.008026893225184703
2015-01-27,600050,3.93,3.93,3.73,3.84,289210752.0,1362121216.0,0.013644207145833141
2015-01-28,600050,3.8,3.81,3.75,3.76,185397408.0,861023616.0,0.008746564993035054
2015-01-29,600050,3.7,3.73,3.66,3.7,194423472.0,884992064.0,0.009172391094159908
2015-01-30,600050,3.72,3.74,3.66,3.67,150083232.0,682753856.0,0.007080534497293286
2015-02-02,600050,3.62,3.65,3.6,3.61,148683168.0,663137664.0,0.007014483138201962
2015-02-03,600050,3.62,3.69,3.62,3.68,166743456.0,747528064.0,0.007866520307917577
2015-02-04,600050,3.68,3.77,3.67,3.68,193027200.0,883983488.0,0.009106518631714505
2015-02-05,600050,3.76,3.77,3.67,3.69,207053152.0,950310272.0,0.009768226376610215
2015-02-06,600050,3.65,3.65,3.47,3.54,237929248.0,1045818368.0,0.01122487986118962
2015-02-09,600050,3.51,3.59,3.5,3.56,115427040.0,505321824.0,0.005445545966390516
2015-02-10,600050,3.55,3.6,3.54,3.58,109782160.0,483397088.0,0.005179235286373438
2015-02-11,600050,3.6,3.71,3.57,3.69,164502064.0,737725184.0,0.007760777293415083
2015-02-12,600050,3.73,4.06,3.7,4.0,585349632.0,2847857408.0,0.02761526525730689
2015-02-13,600050,3.84,4.01,3.83,3.94,611523136.0,2956788480.0,0.028850062746123256
2015-02-16,600050,3.94,4.34,3.92,4.34,822815488.0,4273916928.0,0.038818283495462104
2015-02-17,600050,4.37,4.77,4.33,4.5,977260096.0,5465817600.0,0.04610457630973824
2015-02-25,600050,4.53,4.53,4.28,4.3,567596800.0,3057062400.0,0.026777733057836053
2015-02-26,600050,4.28,4.36,4.15,4.35,543662592.0,2839897600.0,0.025648579699722118
2015-02-27,600050,4.31,4.75,4.26,4.59,759979008.0,4219332608.0,0.035853822653304335
2015-03-02,600050,4.59,4.66,4.44,4.54,469107104.0,2615725568.0,0.022131246699147237
2015-03-03,600050,4.49,4.52,4.32,4.36,454886016.0,2470223104.0,0.02146033294794921
2015-03-04,600050,4.33,4.5,4.3,4.39,372427360.0,2012317056.0,0.017570149143748888
2015-03-05,600050,4.34,4.34,4.21,4.3,404348864.0,2125673088.0,0.019076122244577935
2015-03-06,600050,4.29,4.32,4.22,4.23,220461504.0,1156692480.0,0.010400797368204076
2015-03-09,600050,4.2,4.31,4.11,4.28,260922992.0,1350865536.0,0.01230966458660072
2015-03-10,600050,4.29,4.31,4.2,4.21,213844832.0,1117946624.0,0.010088640082350353
2015-03-11,600050,4.21,4.26,4.16,4.19,213754160.0,1106682880.0,0.010084362414449793
2015-03-12,600050,4.23,4.32,4.19,4.27,273553536.0,1437555968.0,0.012905540630312124
2015-03-13,600050,4.28,4.31,4.23,4.26,229017680.0,1201073280.0,0.010804455381998134
2015-03-16,600050,4.2,4.35,4.18,4.34,379615456.0,2003744896.0,0.017909264719950337
2015-03-17,600050,4.34,4.46,4.32,4.42,420503904.0,2275048704.0,0.01983827479487185
2015-03-18,600050,4.44,4.5,4.38,4.49,413301760.0,2263912704.0,0.019498496470758506
2015-03-19,600050,4.52,4.7,4.48,4.58,562778496.0,3185607936.0,0.026550418072438842
2015-03-20,600050,4.54,4.57,4.47,4.52,437053760.0,2424771072.0,0.02061905373181023
2015-03-23,600050,4.52,4.59,4.47,4.56,427351360.0,2383108096.0,0.020161319866467176
2015-03-24,600050,4.53,4.54,4.37,4.46,490427744.0,2690830592.0,0.023137098752122557
