date,symbol,open,high,low,close,volume,amount,turnover
2015-01-05,601006,5.61,5.83,5.61,5.72,265061888.0,2959629568.0,0.017829125279685408
2015-01-06,601006,5.66,6.29,5.59,6.22,541141056.0,6513091584.0,0.03639931698292761
2015-01-07,601006,6.04,6.12,5.91,6.03,309010688.0,3632787712.0,0.02078529776832262
2015-01-08,601006,6.05,6.19,5.88,5.99,247986848.0,2944691968.0,0.01668058963160446
2015-01-09,601006,5.97,6.09,5.76,5.78,212126368.0,2458800896.0,0.014268469974063754
2015-01-12,601006,5.78,5.93,5.6,5.71,143153648.0,1610685440.0,0.009629088299695452
2015-01-13,601006,5.73,5.79,5.64,5.75,74495168.0,834998784.0,0.005010843667586082
2015-01-14,601006,5.74,5.77,5.63,5.66,92455232.0,1032820992.0,0.006218909578167568
2015-01-15,601006,5.66,5.8,5.58,5.8,130712424.0,1456735616.0,0.008792241693786462
2015-01-16,601006,5.82,5.98,5.79,5.85,161218496.0,1854760320.0,0.010844202402219593
2015-01-19,601006,5.51,5.61,5.26,5.26,170745648.0,1814340224.0,0.011485036842237636
2015-01-20,601006,5.38,5.4,5.15,5.32,184233776.0,1906605568.0,0.012392302408460542
2015-01-21,601006,5.35,5.64,5.28,5.61,173629472.0,1859184000.0,0.011679014406377539
2015-01-22,601006,5.61,5.64,5.47,5.52,97823704.0,1060073920.0,0.006580014528300887
2015-01-23,601006,5.59,5.59,5.43,5.51,105740832.0,1144521984.0,0.00711255229913011
2015-01-26,601006,5.51,5.52,5.37,5.51,81965680.0,875752192.0,0.0055133402556711755
2015-01-27,601006,5.5,5.5,5.27,5.35,144275200.0,1516835072.0,0.009704528383770013
2015-01-28,601006,5.3,5.46,5.24,5.39,121960464.0,1276655872.0,0.008203549775607734
2015-01-29,601006,5.28,5.76,5.28,5.66,281261408.0,3076944640.0,0.018918769942409493
2015-01-30,601006,5.63,5.65,5.38,5.42,139460016.0,1501910144.0,0.009380639802772895
2015-02-02,601006,5.46,5.46,5.21,5.24,141060496.0,1467734400.0,0.00948829450425767
2015-02-03,601006,5.32,5.35,5.21,5.31,92891168.0,958957440.0,0.006248232381293172
2015-02-04,601006,5.35,5.39,5.27,5.3,73706928.0,769913664.0,0.004957823484954397
2015-02-05,601006,5.38,5.47,5.21,5.22,134068728.0,1404965888.0,0.009018000157005095
2015-02-06,601006,5.2,5.26,4.95,4.98,113990496.0,1139415424.0,0.0076674577745310495
