strategy_name,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,tracking_error,information_ratio,average_exposure,average_daily_turnover,total_trade_count,total_transaction_cost,total_boundary_cost_adjustment
fixed_10_40,2021-06-11,2024-06-07,725,-0.12469171693361769,-0.04523613326797504,0.12577601830730276,-0.30543473264892695,-0.20140039758034534,-0.2246079640926669,-0.3749549985200208,-0.15069911196462338,0.23592558287853435,-0.5745672676466123,-0.4510570477580601,-0.33410211128206563,0.10546297869664834,0.2691325349976853,0.24965665017771477,0.17966170424127131,0.5406758964429431,0.407158292032621,0.02792441069156362,104,0.010122598875691812,0.0004
fixed_20_60,2021-06-11,2024-06-07,725,-0.2018943334784784,-0.07539221890942749,0.11358215071130053,-0.6333998270280283,-0.27790191607791725,-0.27129074881329446,-0.3749549985200208,-0.15069911196462338,0.23592558287853435,-0.5745672676466123,-0.4510570477580601,-0.33410211128206563,0.07530689305519589,-0.05883255938141607,0.17315513168014285,0.18602591041524524,0.3419534556581398,0.39394294135922786,0.019129743648794894,70,0.006934532072688149,0.0004
dynamic_rule_c,2021-06-11,2024-06-07,725,-0.2846820092672272,-0.10992641865560371,0.10491366278520255,-1.0573505166807768,-0.3456394114856789,-0.318037859696328,-0.3749549985200208,-0.15069911196462338,0.23592558287853435,-0.5745672676466123,-0.4510570477580601,-0.33410211128206563,0.04077269330901967,-0.4827832490341646,0.10541763627238121,0.19740149697646436,0.12474374483889084,0.3610455156792951,0.012512137472645915,46,0.004535649833834144,0.0004
fixed_25_110,2021-06-11,2024-06-07,725,-0.2936108016121367,-0.11380398288498961,0.10431512503355356,-1.1058485549694916,-0.353948103155984,-0.3215273139487245,-0.3749549985200208,-0.15069911196462338,0.23592558287853435,-0.5745672676466123,-0.4510570477580601,-0.33410211128206563,0.03689512907963377,-0.5312812873228794,0.09710894460207609,0.19862910374072343,0.101688961296439,0.3571151027149255,0.01250796528519871,46,0.004534137415884532,0.0004
