date,fold_id,strategy_return,benchmark_return,active_return,strategy_nav,benchmark_nav,portfolio_position,portfolio_turnover,portfolio_transaction_cost,portfolio_boundary_cost_adjustment,trade_event_count,stock_count,strategy_drawdown,benchmark_drawdown
2021-06-11,1,-0.004715112015724943,-0.007169623986258755,0.0024545119705338125,0.9952848879842751,0.9928303760137412,0.8,0.8,0.0004,0.0004,4,5,0.0,0.0
2021-06-15,1,-0.008630572892573185,-0.012737004960225451,0.004106432067652266,0.9866950092096503,0.9801846905897917,0.7990525100757283,0.0,0.0,0.0,0,5,-0.008630572892573185,-0.012737004960225451
2021-06-16,1,-0.011534942135478343,-0.01011409831332244,-0.0014208438221559039,0.9753135393730517,0.970271006263953,0.7973031198767273,0.0,0.0,0.0,0,5,-0.02006596186913967,-0.022722279953162894
2021-06-17,1,0.003620109812361383,0.0040201987372341375,-0.0004000889248727546,0.978844281487065,0.9741716885381102,0.7949377385568096,0.0,0.0,0.0,0,5,-0.016518493042235183,-0.018793429297103592
2021-06-18,1,-0.004145697748186183,-0.007665287716697389,0.0035195899685112053,0.9747862889534792,0.9667043822600047,0.7956774087741934,0.0,0.0,0.0,0,5,-0.02059571011101269,-0.02631465997105531
2021-06-21,1,-0.007276287623688704,-0.010293729871431623,0.0030174422477429186,0.9676934635434256,0.956753388483491,0.7948268227954683,0.0,0.0,0.0,0,5,-0.027722137424119553,-0.0363375138410863
2021-06-22,1,0.004537365203778565,0.011947598351647715,-0.00741023314786915,0.9720842421928315,0.9681842936906697,0.6041349607360781,0.1891880206265784,9.45940103132892e-05,0.0,1,5,-0.02331055768206347,-0.024824061509909345
2021-06-23,1,0.0029218426167116895,0.006511062077162899,-0.0035892194604512095,0.9749245193587044,0.9744882017290237,0.6060171986003492,0.0,0.0,0.0,0,5,-0.02045682484620659,-0.01847463043824482
2021-06-24,1,0.002834361738961677,0.0009876980261751545,0.0018466637127865226,0.9776878081147503,0.9754507018024026,0.6071650006428071,0.0,0.0,0.0,0,5,-0.017680445148889667,-0.017505179768087742
2021-06-25,1,0.00808330485852693,0.017062116550067064,-0.008978811691540134,0.9855907567242068,0.9920939553653998,0.40873380547269056,0.1995414846998574,9.977074234992871e-05,0.0,1,5,-0.009740056718535617,-0.0007417386354536815
