strategy_name,fold_count,avg_fold_return,median_fold_return,worst_fold_return,avg_excess_return,positive_excess_fold_rate
dynamic_rule_c,3,-0.10230292810199464,-0.0733537613629478,-0.20699423809066542,0.041292867070150896,0.6666666666666666
fixed_10_40,3,-0.0425043954896784,-0.02828296254789553,-0.0990749898362695,0.10109139968246712,1.0
fixed_20_60,3,-0.07034664856680677,-0.11194817787437039,-0.11772089218684756,0.07324914660533877,1.0
fixed_25_110,3,-0.10635317182811765,-0.0733537613629478,-0.20699423809066542,0.03724262334402787,0.6666666666666666
