date,symbol,open,high,low,close,volume,amount,turnover,asset_return,fast_ma,slow_ma,signal,position,position_change,gross_strategy_return,transaction_cost,strategy_return,strategy_nav,benchmark_nav,strategy_rolling_max,strategy_drawdown,source_position_change,source_transaction_cost,fold_id,test_start,test_end,selected_fast_window,selected_slow_window,selected_ma_param,is_fold_start,is_parameter_switch,boundary_cost_adjustment,stock_strategy_nav,stock_benchmark_nav
2021-06-11,000001,19.58,19.61,18.62,18.82,83466504.0,1965393116.0,0.0043011213043805,-0.034376603386351845,19.417,18.209166666666665,1.0,1.0,1.0,-0.034376603386351845,0.0005,-0.034876603386351845,2.007662165042857,2.2979242979242946,2.4744336031362724,-0.18863768965220817,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,True,False,0.0005,0.9651233966136481,0.9656233966136482
2021-06-15,000001,18.81,18.87,18.36,18.7,66062259.0,1524503478.0,0.0034042613022393,-0.006376195536663132,19.4015,18.232333333333333,1.0,1.0,0.0,-0.006376195536663132,0.0,-0.006376195536663132,1.9948609185069832,2.28327228327228,2.4744336031362724,-0.19381109439406452,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,False,False,0.0,0.958969581119831,0.9594663930220627
2021-06-16,000001,18.7,18.85,18.53,18.73,37820804.0,878470834.0,0.0019489478777402,0.0016042780748664054,19.3755,18.262166666666666,1.0,1.0,0.0,0.0016042780748664054,0.0,0.0016042780748664054,1.998061230140952,2.286935286935284,2.4744336031362724,-0.19251774320860027,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,False,False,0.0,0.9605080349932854,0.9610056439199591
2021-06-17,000001,18.54,19.08,18.54,18.61,45328209.0,1059121804.0,0.0023358127641156,-0.006406833956219993,19.3555,18.282833333333333,1.0,1.0,0.0,-0.006406833956219993,0.0,-0.006406833956219993,1.9852599836050782,2.2722832722832695,2.4744336031362724,-0.1976911479504566,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,False,False,0.0,0.9543542194994683,0.9548486403283737
2021-06-18,000001,18.63,18.75,18.03,18.24,69409930.0,1574437730.0,0.0035767704929699,-0.01988178398710372,19.308,18.314166666666665,1.0,1.0,0.0,-0.01988178398710372,0.0,-0.01988178398710372,1.945789473452801,2.2271062271062245,2.4744336031362724,-0.21364247923784674,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,False,False,0.0,0.9353799550601989,0.9358645459209852
2021-06-21,000001,18.2,18.26,17.73,17.85,71827274.0,1600119860.0,0.0037013389040108,-0.02138157894736825,19.2545,18.324666666666666,1.0,1.0,0.0,-0.02138157894736825,0.0,-0.02138157894736825,1.9041854222112118,2.1794871794871775,2.4744336031362724,-0.23045604464887948,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,False,False,0.0,0.9153800547052935,0.9158542842483327
2021-06-22,000001,18.03,18.6,17.92,18.5,75775141.0,1720058047.0,0.0039047768587209,0.0364145658263304,19.234,18.350166666666667,1.0,1.0,0.0,0.0364145658263304,0.0,0.0364145658263304,1.9735255076138607,2.2588522588522566,2.4744336031362724,-0.20243343563049143,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,False,False,0.0,0.9487132219634693,0.9492047203694204
2021-06-23,000001,18.4,18.86,18.3,18.64,44790778.0,1035835696.0,0.0023081183500339,0.00756756756756749,19.1755,18.387333333333334,1.0,1.0,0.0,0.00756756756756749,0.0,0.00756756756756749,1.9884602952390464,2.2759462759462736,2.4744336031362724,-0.19639779676499258,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,False,False,0.0,0.9558926733729225,0.95638789122627
2021-06-24,000001,18.55,18.62,18.27,18.59,39028349.0,894502109.0,0.0020111740077037,-0.002682403433476477,19.098000000000003,18.420833333333334,1.0,1.0,0.0,-0.002682403433476477,0.0,-0.002682403433476477,1.9831264425157655,2.2698412698412676,2.4744336031362724,-0.19855338207409945,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,False,False,0.0,0.953328583583832,0.9538224730631093
2021-06-25,000001,18.59,19.01,18.57,18.81,55997295.0,1310287390.0,0.0028856025707292,0.011834319526627057,19.04,18.45283333333333,1.0,1.0,0.0,0.011834319526627057,0.0,0.011834319526627057,2.0065953944982002,2.296703296703294,2.4744336031362724,-0.1890688067140298,0.0,0.0,1,2021-06-11,2022-06-10,20,60,20/60,False,False,0.0,0.9646105786558299,0.9651103129810158
