date,symbol,open,high,low,close,volume,amount,turnover,asset_return,fast_ma,slow_ma,signal,position,position_change,gross_strategy_return,transaction_cost,strategy_return,strategy_nav,benchmark_nav,strategy_rolling_max,strategy_drawdown
2021-01-04,000002,24.05,24.05,23.3,23.52,146844133.0,4079416859.0,0.0151112249138775,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2021-01-05,000002,23.52,23.65,22.95,23.63,116265838.0,3189607203.0,0.0119645176959058,0.0046768707482993666,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0046768707482994,1.0,0.0
2021-01-06,000002,23.54,24.34,23.48,24.34,104880129.0,2972572549.0,0.0107928535239163,0.03004655099449849,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0348639455782314,1.0,0.0
2021-01-07,000002,24.56,24.98,24.04,24.38,122675574.0,3544224003.0,0.0126241215926074,0.0016433853738702098,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0365646258503403,1.0,0.0
2021-01-08,000002,24.54,24.94,24.39,24.84,102856329.0,3000845603.0,0.0105845912232311,0.018867924528301883,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.056122448979592,1.0,0.0
2021-01-11,000002,24.98,25.7,24.78,25.22,138812124.0,4142482791.0,0.0142846784797119,0.015297906602254496,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.072278911564626,1.0,0.0
2021-01-12,000002,25.22,25.23,24.87,25.15,98065437.0,2899071740.0,0.0100915769973914,-0.0027755749405233843,,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0693027210884356,1.0,0.0
2021-01-13,000002,25.32,25.59,25.06,25.32,94050423.0,2807916706.0,0.0096784057092585,0.006759443339960258,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0765306122448983,1.0,0.0
2021-01-14,000002,25.34,26.07,25.23,25.39,121632323.0,3681938197.0,0.0125167642186317,0.002764612954186507,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.079506802721089,1.0,0.0
2021-01-15,000002,25.41,26.02,25.3,25.36,112337238.0,3399072612.0,0.0115602389754433,-0.0011815675462780728,,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0782312925170074,1.0,0.0
2021-01-18,000002,25.57,26.47,25.26,26.47,125828168.0,3847315299.0,0.0129485442033231,0.04376971608832814,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.125425170068028,1.0,0.0
2021-01-19,000002,26.41,27.39,26.01,26.49,163168839.0,5130233087.0,0.016791144288109,0.000755572346052169,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1262755102040825,1.0,0.0
2021-01-20,000002,26.31,26.42,25.7,25.83,96143454.0,2946920756.0,0.009893792334155,-0.02491506228765572,,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0982142857142865,1.0,0.0
2021-01-21,000002,25.66,25.99,25.42,25.49,87525261.0,2650781807.0,0.0090069237197024,-0.01316298877274491,,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0837585034013613,1.0,0.0
2021-01-22,000002,25.36,25.36,24.56,24.78,105809055.0,3114137416.0,0.0108884461051626,-0.027854060415849258,,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0535714285714293,1.0,0.0
2021-01-25,000002,24.78,25.06,24.18,24.86,97374972.0,2825867846.0,0.0100205236178862,0.0032284100080710587,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.056972789115647,1.0,0.0
2021-01-26,000002,24.78,25.53,24.68,25.15,81665458.0,2433266442.0,0.0084039115374995,0.011665325824617767,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.069302721088436,1.0,0.0
2021-01-27,000002,25.14,25.36,24.87,24.89,72430275.0,2146772480.0,0.0074535506032032,-0.010337972166997944,,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0582482993197286,1.0,0.0
2021-01-28,000002,24.6,24.61,23.89,24.07,78604139.0,2240534519.0,0.0080888817232534,-0.032944957814383335,,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0233843537414973,1.0,0.0
2021-01-29,000002,24.17,24.26,23.34,23.53,96368543.0,2691727579.0,0.0099169554693457,-0.022434565849605237,24.935499999999998,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.000425170068028,1.0,0.0
2021-02-01,000002,23.68,23.81,23.08,23.77,88669362.0,2456621915.0,0.0091246592204812,0.010199745006374883,24.948,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0106292517006812,1.0,0.0
2021-02-02,000002,23.87,24.11,23.67,24.0,71610837.0,2021288070.0,0.0073692250556447,0.009676062263357155,24.966500000000003,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.020408163265307,1.0,0.0
2021-02-03,000002,24.0,24.0,23.52,23.64,58961004.0,1646692739.0,0.0060674742285552,-0.015000000000000013,24.9315,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0051020408163274,1.0,0.0
2021-02-04,000002,23.62,24.0,23.23,23.62,66557430.0,1856062457.0,0.0068491963136154,-0.0008460236886632666,24.8935,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.004251700680273,1.0,0.0
2021-02-05,000002,23.72,24.84,23.72,24.45,103026092.0,2954837148.0,0.0106020609499586,0.03513971210838274,24.874000000000002,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0395408163265314,1.0,0.0
2021-02-08,000002,24.56,25.2,24.22,24.67,83203690.0,2428055239.0,0.0085622057045652,0.008997955010225045,24.8465,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0488945578231301,1.0,0.0
2021-02-09,000002,24.55,24.61,24.17,24.34,67356766.0,1934330497.0,0.0069314532334595,-0.0133765707336847,24.806,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.034863945578232,1.0,0.0
2021-02-10,000002,24.23,24.54,24.0,24.41,65214896.0,1874968653.0,0.0067110407549693,0.002875924404272867,24.7605,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0378401360544225,1.0,0.0
2021-02-18,000002,24.51,25.51,24.51,25.41,99692214.0,2956988624.0,0.0102589830260117,0.040966816878328594,24.761499999999998,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0803571428571437,1.0,0.0
2021-02-19,000002,25.15,25.44,25.06,25.27,75857453.0,2260941141.0,0.0078062297094082,-0.005509641873278293,24.756999999999998,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0744047619047628,1.0,0.0
2021-02-22,000002,25.27,25.68,25.0,25.17,85234085.0,2548985160.0,0.0087711466740285,-0.00395726157498999,24.692,,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0701530612244907,1.0,0.0
