ma_param,avg_strategy_sharpe,median_strategy_sharpe,std_strategy_sharpe,worst_strategy_sharpe,avg_excess_annual_return,median_excess_annual_return,worst_excess_annual_return,return_win_rate,avg_drawdown_improvement,avg_trade_count,local_mean,local_std,local_min,point_minus_local_mean,robustness_score
10/40,-0.23304774380845625,-0.4985935379084254,0.6057398864571123,-0.6362908605144609,0.03755945076531939,0.005708604771840875,-0.03520881928453656,0.6,0.20027322861637886,27.6,-0.2004137349717955,0.07435150723506462,-0.3508177508432332,-0.03263400883666076,-0.2747652422068601
20/60,-0.4246057619440956,-0.27119888551126026,0.7492532081505116,-1.516076016697073,0.00610696147538492,0.020932819370179434,-0.09304177529985691,0.8,0.19174585299414065,19.4,-0.3367403969329428,0.10364961534166003,-0.4567500790593697,-0.08786536501115283,-0.44039001227460284
