period,symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,fast_window,slow_window,ma_param
in_sample,000001,2021-02-01,2024-12-31,949,-0.47304729728024186,-0.15643511009162725,0.20628868046287632,-0.7219343945553893,-0.5480417192346587,-0.28544379853068336,-0.41680216802167935,-0.1334090934508133,0.30298620290056,-0.32207343619426165,-0.6231380337636543,-0.21409236192026937,-0.02302601664081394,-0.39986095836112767,0.07509631452899557,0.40463645943098,33,32,65,0.0325,5,20,5/20
in_sample,000002,2021-02-01,2024-12-31,949,-0.2415823823098423,-0.07079709573296156,0.2555593553786161,-0.1615266815055941,-0.4382671024440613,-0.16153869486929565,-0.69145771355716,-0.26820193488949196,0.3892373789474914,-0.6095331791166942,-0.7807543179414871,-0.343516428569521,0.1974048391565304,0.4480064976111001,0.3424872154974258,0.3361433087460485,28,28,56,0.028000000000000004,5,20,5/20
in_sample,300750,2021-02-01,2024-12-31,949,-0.07957798937013516,-0.021778935528087073,0.33710000330370815,0.10072132629816685,-0.528233740774344,-0.04122973192920444,0.3971685689201019,0.09287315190856305,0.4530172583507516,0.4202950570146768,-0.6287827461607955,0.1477030858044776,-0.11465208743665012,-0.31957373071650996,0.1005490053864515,0.5205479452054794,33,33,66,0.033,5,20,5/20
in_sample,600036,2021-02-01,2024-12-31,949,0.08594429522977909,0.022135406006185798,0.20819972268150705,0.20850276289048483,-0.30705248417473074,0.07208997532027607,-0.07923771313941497,-0.021682916566688304,0.29708703949433296,0.0741063396635812,-0.5093099671412911,-0.04257312435566984,0.0438183225728741,0.13439642322690365,0.20225748296656032,0.48893572181243417,27,26,53,0.026500000000000003,5,20,5/20
in_sample,600519,2021-02-01,2024-12-31,949,-0.10001569846616176,-0.027594465683913882,0.19098477432185504,-0.051526573034887085,-0.3814978928389273,-0.07233189540987733,-0.20767696371772315,-0.05994288323282915,0.29524576019216514,-0.06256289985036377,-0.4748230154483184,-0.12624258151478246,0.032348417548915265,0.011036326815476685,0.09332512260939108,0.43414120126448896,31,30,61,0.0305,5,20,5/20
in_sample,000001,2021-02-22,2024-12-31,939,-0.34874815704862716,-0.10871684869300369,0.19882755162354254,-0.47998222356315734,-0.4457272358778791,-0.24390891994491012,-0.43546694648478557,-0.14224999977014297,0.2983125136811284,-0.3660675933896906,-0.6231380337636547,-0.2282800793124046,0.03353315107713928,-0.11391463017346676,0.17741079788577563,0.3865814696485623,25,24,49,0.0245,5,30,5/30
in_sample,000002,2021-02-22,2024-12-31,939,-0.14676653175126886,-0.04170185879533961,0.24784054806556463,-0.049699168100208614,-0.41209298702281283,-0.1011952644392637,-0.7127028096557169,-0.28446305350600554,0.3900039148980404,-0.6651319920014593,-0.7807543179414865,-0.3643438748517105,0.24276119471066593,0.6154328239012508,0.3686613309186737,0.308839190628328,21,21,42,0.020999999999999998,5,30,5/30
in_sample,300750,2021-02-22,2024-12-31,939,0.4417630882586008,0.10317002572358103,0.3367162807591437,0.45735924434518777,-0.3940771976213643,0.26180156158821566,0.2767387053101331,0.06776250108651816,0.4510964332107665,0.3686797753033041,-0.6287827461607955,0.10776774887711309,0.03540752463706287,0.08867946904188367,0.23470554853943126,0.5058572949946751,25,24,49,0.0245,5,30,5/30
in_sample,600036,2021-02-22,2024-12-31,939,-0.24950190125649907,-0.07413536558416889,0.2029127802079678,-0.27863152491688553,-0.39950068041453857,-0.18557006087509773,-0.14743440910146055,-0.04190322603827468,0.2975300145743797,0.004246607976382008,-0.5093099671412922,-0.08227450617837591,-0.03223213954589421,-0.2828781328932675,0.10980928672675361,0.4802981895633653,25,24,49,0.0245,5,30,5/30
in_sample,600519,2021-02-22,2024-12-31,939,-0.23107052322499466,-0.0680871646380895,0.18350304898012118,-0.2928529240882196,-0.3558860132573781,-0.1913173378602227,-0.318415597304606,-0.09776106277835206,0.29119400943538476,-0.20839850047343975,-0.40789551766428067,-0.23967182414300156,0.029673898140262556,-0.08445442361477987,0.05200950440690255,0.43130990415335463,22,21,43,0.0215,5,30,5/30
in_sample,000001,2021-03-08,2024-12-31,929,-0.3512758495459005,-0.11075890918702691,0.18992481555597399,-0.5237427047109722,-0.47313420111235116,-0.23409618016755024,-0.3971988795518233,-0.12829378813845094,0.2953396449744915,-0.3181399436423228,-0.6231380337636552,-0.20588341777756164,0.017534878951424027,-0.2056027610686494,0.15000383265130401,0.35522066738428415,21,20,41,0.020499999999999997,5,40,5/40
in_sample,000002,2021-03-08,2024-12-31,929,-0.325215090114679,-0.10120738491721704,0.2342315133310653,-0.3393146924284191,-0.4868651497854817,-0.20787559956141893,-0.7281916885061779,-0.2976744989210033,0.3878556659737036,-0.7187842590052336,-0.7767408470926063,-0.38323528373101423,0.19646711400378625,0.37946956657681447,0.2898756973071246,0.29709364908503766,13,13,26,0.013000000000000001,5,40,5/40
in_sample,300750,2021-03-08,2024-12-31,929,0.9157009080697864,0.19284509528546456,0.33210251851180556,0.6943627831105494,-0.4000970944691796,0.48199574041225596,0.5460562268504421,0.1254576062017414,0.4473962534720053,0.485563078928064,-0.6287827461607957,0.19952456864911924,0.06738748908372316,0.20879970418248545,0.22868565169161603,0.49730893433799783,16,16,32,0.016,5,40,5/40
