symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,strategy_name,signal_version,fast_window,slow_window,rebound_window,partial_position,rebound_return_threshold,volatility_window,fast_ma_slope_window,max_days_since_exit,rebound_score_threshold,full_position_rate,partial_position_rate,cash_rate,partial_signal_rate,partial_entry_count,partial_exit_count,total_turnover,avg_rebound_score_at_partial_signal,avg_days_since_exit_at_partial_signal,avg_fast_ma_slope_at_partial_signal,strategy_variant,use_recent_exit_condition,use_rebound_score_condition,use_fast_ma_slope_condition
300750,2018-08-07,2026-07-10,1921,7.455944984964734,0.3232036335466184,0.3556022106401331,0.9627606079585874,-0.3368933946249253,0.9593647091432346,8.763717805151126,0.34840198506893794,0.4491067907949694,0.8880993884921491,-0.6287827461607955,0.5540896075730468,-0.02519835152231953,0.07466121946643833,0.29188935153587026,0.5629359708485164,41,36,77,0.0304,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5585632483081728,0.014575741801145237,0.42686100989068193,0.014575741801145237,13,13,60.8,1.4814143595900113,9.5,0.011329353354176881,v2_full,True,True,True
600519,2015-03-09,2026-07-10,2758,2.7684362194899785,0.1288706135458586,0.21616717883475017,0.6683744483638402,-0.5580574030426564,0.2309271642007195,8.264088567694346,0.22556768826453655,0.29736508925824157,0.8322036298588344,-0.47528006645264,0.4745995133945168,-0.09669707471867794,-0.16382918149499426,-0.0827773365900164,0.5755257432922407,67,60,127,0.0474,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5710659898477157,0.014865844815083394,0.41406816533720087,0.014865844815083394,25,25,94.8,1.509398397608062,8.829268292682928,0.007425312767964215,v2_full,True,True,True
600036,2015-03-09,2026-07-10,2753,0.37466868122019203,0.029556454234712648,0.20515395127606492,0.2440023436230942,-0.3218358169233998,0.09183705691075206,3.2148571428571904,0.14074990091847073,0.28289750369343114,0.6063145324260087,-0.5093405356740928,0.2763375208929594,-0.11119344668375808,-0.36231218880291455,0.18750471875069297,0.5619324373410824,78,70,148,0.0518,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5543043952052307,0.025426807119505995,0.4202687976752634,0.025426807119505995,34,34,103.6,1.572216875400322,11.942857142857143,0.008516382697631802,v2_full,True,True,True
000001,2015-03-09,2026-07-10,2758,0.16258900656286834,0.013860094369224196,0.218985088302924,0.1717002420046434,-0.5034502444262662,0.027530216784419706,0.5188953488372157,0.03893003382437543,0.3032388138127958,0.2769875860752374,-0.6231380337636545,0.06247417380262319,-0.025069939455151236,-0.10528734407059398,0.11968778933738833,0.5058738216098622,59,53,112,0.0432,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5010877447425671,0.01595358955765047,0.48295866569978246,0.01595358955765047,20,20,86.4,1.6043355029755617,12.136363636363637,0.008094038752521232,v2_full,True,True,True
000002,2015-03-09,2026-07-10,2623,-0.6749045630762822,-0.10232873424130173,0.27902022998034626,-0.24880039880411764,-0.8636082892813459,-0.11848975456969603,-0.6160493827160478,-0.0878631423548345,0.38922452492585335,-0.04381026406909734,-0.9050836550836547,-0.09707737164551217,-0.014465591886467233,-0.2049901347350203,0.04147536580230882,0.43225314525352654,71,64,135,0.049999999999999996,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.4269919939001144,0.017537171178040413,0.5554708349218452,0.017537171178040413,27,27,99.99999999999999,1.564027081031979,12.065217391304348,0.013479868814918859,v2_full,True,True,True
300750,2018-08-07,2026-07-10,1921,7.74045815852455,0.32896038217293877,0.3560060531675635,0.9742802183690582,-0.33628439984617675,0.9782207629120229,8.763717805151126,0.34840198506893794,0.4491067907949694,0.8880993884921491,-0.6287827461607955,0.5540896075730468,-0.019441602895999166,0.08618082987690912,0.2924983463146188,0.5704320666319624,60,47,107,0.0337,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5585632483081728,0.03956272774596564,0.4018740239458615,0.03956272774596564,32,32,67.4,1.501511116224295,32.776315789473685,0.014041830849627243,v2_no_recent_exit,False,True,True
600519,2015-03-09,2026-07-10,2758,2.967092828539912,0.1341820089455339,0.21654526579085703,0.6892715108172047,-0.5432364153102421,0.2470048125711576,8.264088567694346,0.22556768826453655,0.29736508925824157,0.8322036298588344,-0.47528006645264,0.4745995133945168,-0.09138567931900266,-0.14293211904162972,-0.06795634885760216,0.5810732414793328,88,75,163,0.051899999999999995,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5710659898477157,0.03335750543872371,0.39557650471356054,0.03335750543872371,46,46,103.8,1.602323766180524,26.67391304347826,0.010439064068376677,v2_no_recent_exit,False,True,True
600036,2015-03-09,2026-07-10,2753,0.39608374736227825,0.031014301862343663,0.20542848121728358,0.25083916645295967,-0.32226284092139645,0.09623914992392313,3.2148571428571904,0.14074990091847073,0.28289750369343114,0.6063145324260087,-0.5093405356740928,0.2763375208929594,-0.10973559905612706,-0.3554753659730491,0.1870776947526963,0.5682528151107883,100,83,183,0.0557,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5543043952052307,0.04649473301852525,0.3992008717762441,0.04649473301852525,56,56,111.4,1.5794738186899173,22.201612903225808,0.011001871110802601,v2_no_recent_exit,False,True,True
000001,2015-03-09,2026-07-10,2758,0.12047669422914464,0.010447989129535484,0.2194285583559601,0.15642966058743718,-0.5204371724177091,0.020075409066187537,0.5188953488372157,0.03893003382437543,0.3032388138127958,0.2769875860752374,-0.6231380337636545,0.06247417380262319,-0.028482044694839947,-0.1205579254878002,0.10270086134594536,0.5158810732414794,99,76,175,0.0501,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5010877447425671,0.049311094996374184,0.44960116026105873,0.049311094996374184,60,60,100.2,1.6074974843578655,33.669172932330824,0.010314300982861844,v2_no_recent_exit,False,True,True
000002,2015-03-09,2026-07-10,2623,-0.6749688923976827,-0.10234580121479742,0.2796222030274479,-0.24773601586697333,-0.8644252412641665,-0.11839751586282145,-0.6160493827160478,-0.0878631423548345,0.38922452492585335,-0.04381026406909734,-0.9050836550836547,-0.09707737164551217,-0.014482658859962916,-0.20392575179787598,0.040658413819488204,0.441974837971788,107,87,194,0.05689999999999999,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.4269919939001144,0.04994281357224552,0.52306519252764,0.04994281357224552,63,63,113.8,1.5526155442287741,34.889763779527556,0.01452663696609827,v2_no_recent_exit,False,True,True
300750,2018-08-07,2026-07-10,1921,7.03354860226036,0.3143386311007219,0.3559599766286428,0.9432411897329428,-0.33902985673327735,0.9271709404284691,8.763717805151126,0.34840198506893794,0.4491067907949694,0.8880993884921491,-0.6287827461607955,0.5540896075730468,-0.034063353968216026,0.05514180124079371,0.2897528894275182,0.5691827173347216,49,41,90,0.0319,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5585632483081728,0.035398230088495575,0.4060385216033316,0.035398230088495575,21,21,63.8,0.8155323533216697,11.205882352941176,0.010975165195121442,v2_no_rebound_score,True,False,True
600519,2015-03-09,2026-07-10,2758,2.7584529424741047,0.12859703271288825,0.21678024691632694,0.665976846079555,-0.5489725111464867,0.2342504043496154,8.264088567694346,0.22556768826453655,0.29736508925824157,0.8322036298588344,-0.47528006645264,0.4745995133945168,-0.0969706555516483,-0.16622678377927946,-0.07369244469384673,0.5855329949238579,88,70,158,0.0504,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5710659898477157,0.048223350253807105,0.38071065989847713,0.048223350253807105,46,46,100.79999999999998,0.7618107629832218,10.38345864661654,0.006929852521346786,v2_no_rebound_score,True,False,True
600036,2015-03-09,2026-07-10,2753,0.41020395545336075,0.03196447254721346,0.20561242697413984,0.2552786900769512,-0.31921378497422115,0.10013500059151527,3.2148571428571904,0.14074990091847073,0.28289750369343114,0.6063145324260087,-0.5093405356740928,0.2763375208929594,-0.10878542837125726,-0.35103584234905755,0.19012675069987162,0.5730475844533236,95,77,172,0.05405,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5543043952052307,0.0624772974936433,0.38321830730112605,0.06284053759535052,51,50,108.1,0.8598031590810364,12.028901734104046,0.008191208930844737,v2_no_rebound_score,True,False,True
000001,2015-03-09,2026-07-10,2758,0.15337386269592912,0.013123159273174867,0.21923786989241395,0.168437456252648,-0.5032511241099045,0.026076760973729917,0.5188953488372157,0.03893003382437543,0.3032388138127958,0.2769875860752374,-0.6231380337636545,0.06247417380262319,-0.025806874551200565,-0.10855012982258938,0.11988690965375004,0.5131617113850617,79,66,145,0.047099999999999996,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5010877447425671,0.04024655547498187,0.45866569978245103,0.04060913705583756,40,40,94.2,0.859779635235507,11.901785714285714,0.0068261742189269165,v2_no_rebound_score,True,False,True
000002,2015-03-09,2026-07-10,2623,-0.658633748703417,-0.09810701625980289,0.2797160011830072,-0.2307189032349554,-0.8569562946557808,-0.11448310359772802,-0.6160493827160478,-0.0878631423548345,0.38922452492585335,-0.04381026406909734,-0.9050836550836547,-0.09707737164551217,-0.010243873904968392,-0.18690863916585804,0.04812736042787391,0.4408311094166985,79,65,144,0.0503,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.4269919939001144,0.046130385055280214,0.5268776210446054,0.046130385055280214,35,35,100.6,0.8610781331855748,11.760330578512397,0.01204550525696877,v2_no_rebound_score,True,False,True
300750,2018-08-07,2026-07-10,1921,7.918546747908522,0.33248145081863933,0.3558303515598772,0.9820323216823107,-0.335427816607898,0.9912160958531866,8.763717805151126,0.34840198506893794,0.4491067907949694,0.8880993884921491,-0.6287827461607955,0.5540896075730468,-0.0159205342502986,0.0939329331901616,0.29335492955289755,0.5654346694429985,50,44,94,0.0328,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5585632483081728,0.022904737116085372,0.4185320145757418,0.022904737116085372,22,22,65.6,1.4271007980821595,9.477272727272727,0.004139626694309284,v2_no_fast_ma_slope,True,True,False
600519,2015-03-09,2026-07-10,2758,2.6933692316564266,0.1267971280343445,0.2162813519532848,0.65963075942088,-0.5619632640800944,0.22563241432143258,8.264088567694346,0.22556768826453655,0.29736508925824157,0.8322036298588344,-0.47528006645264,0.4745995133945168,-0.09877056023019204,-0.17257287043795444,-0.08668319762745447,0.5784626540971719,80,73,153,0.0513,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5710659898477157,0.024655547498187092,0.40427846265409717,0.024655547498187092,38,38,102.6,1.4222936006354099,7.867647058823529,0.0013497292793611295,v2_no_fast_ma_slope,True,True,False
600036,2015-03-09,2026-07-10,2753,0.41453274712950483,0.03225403286631834,0.20526632961953192,0.25673075681123053,-0.3220473063156809,0.1001530900392066,3.2148571428571904,0.14074990091847073,0.28289750369343114,0.6063145324260087,-0.5093405356740928,0.2763375208929594,-0.10849586805215239,-0.3495837756147782,0.18729322935841186,0.564874682164911,86,78,164,0.0542,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5543043952052307,0.03523428986560116,0.41046131492916815,0.03523428986560116,42,42,108.39999999999999,1.5059930398285724,11.65979381443299,0.004655075995286746,v2_no_fast_ma_slope,True,True,False
000001,2015-03-09,2026-07-10,2758,0.15739195852572196,0.013445141806707639,0.21913312189821624,0.16986363173427618,-0.49397871583661945,0.027218058948018604,0.5188953488372157,0.03893003382437543,0.3032388138127958,0.2769875860752374,-0.6231380337636545,0.06247417380262319,-0.025484892017667793,-0.1071239543409612,0.12915931792703506,0.5084844089920232,68,62,130,0.045899999999999996,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5010877447425671,0.024655547498187092,0.47425670775924583,0.024655547498187092,29,29,91.8,1.4973719294424752,10.558823529411764,0.0026192780659742908,v2_no_fast_ma_slope,True,True,False
000002,2015-03-09,2026-07-10,2623,-0.6867195492551597,-0.1055157471667364,0.27918657497394617,-0.2612209551235179,-0.8686157339575337,-0.12147574933508518,-0.6160493827160478,-0.0878631423548345,0.38922452492585335,-0.04381026406909734,-0.9050836550836547,-0.09707737164551217,-0.017652604811901895,-0.21741069105442057,0.03646792112612107,0.4344262295081967,81,74,155,0.053,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.4269919939001144,0.024780785360274494,0.5482272207396112,0.024780785360274494,37,37,106.0,1.4820679253592295,11.107692307692307,0.007058426688273643,v2_no_fast_ma_slope,True,True,False
