baseline_name,candidate_name,stock_count,avg_annual_return_diff,annual_return_win_rate,avg_sharpe_diff,sharpe_win_rate,avg_drawdown_diff,drawdown_win_rate,avg_excess_return_diff,avg_exposure_diff,avg_trade_count_diff,avg_turnover_diff,avg_transaction_cost_diff,avg_partial_position_rate_diff,strategy_variant,observation_count,partial_signal_days,partial_position_days,partial_position_rate,partial_entry_count,avg_days_since_exit_at_signal,median_days_since_exit_at_signal,avg_rebound_score_at_signal,avg_fast_ma_slope_at_signal,partial_day_avg_asset_return,partial_day_positive_rate,partial_day_net_return_sum,net_return_per_signal_day,net_return_per_entry,total_turnover,transaction_cost_sum,extra_exposure_days,extra_exposure_stock_count,avg_position_increment,extra_exposure_avg_asset_return,extra_exposure_positive_rate,incremental_gross_return_sum,incremental_cost_sum,incremental_net_return_sum,incremental_log_return_sum,incremental_stock_win_rate,preliminary_decision
v2_full,v2_no_recent_exit,5,0.0013030073275586362,0.8,0.005089293786928645,0.8,-0.0002893655714040655,0.6,0.0013030073275586362,0.008257526003258787,32.6,7.5600000000000005,0.0037799999999999978,0.027525086677529287,v2_no_recent_exit,8350,373,373,0.04467065868263473,173,32.43699731903485,26.0,1.5673854085398733,0.01356093189209002,0.0014873096693354077,0.46380697050938335,0.14047995199863206,0.00037662185522421463,0.0008120228439227287,325.2,0.1626,230,5,0.2999999999999999,0.0008509782728797896,0.45217391304347826,0.058717500828705485,0.018899999999999993,0.039817500828705485,0.03513862938857986,0.8,条件可能过严，考虑删除
v2_full,v2_no_rebound_score,5,0.000605437399861497,0.8,0.007876224302018868,0.8,0.006288978842168946,0.8,0.000605437399861497,0.008272138278024066,13.6,2.4600000000000035,0.0012299999999999978,0.02757379426008031,v2_no_rebound_score,8350,375,375,0.04491017964071856,120,11.56,11.0,0.8531878317667488,0.009749131678923854,0.0014144844448967507,0.496,0.1411295000508844,0.00037634533346902506,0.0011760791670907033,299.7,0.14984999999999998,232,5,0.3,0.0007387507023126125,0.5043103448275862,0.05141704888095782,0.006149999999999998,0.04526704888095781,0.04159745110828221,0.8,条件可能过严，考虑删除
v2_full,v2_no_fast_ma_slope,5,0.0012345263737092882,0.6,0.0029536199209044462,0.6,0.001407175587182219,0.6,0.0012345263737092882,0.002832713315350166,14.6,4.320000000000003,0.002159999999999998,0.009442377717833869,v2_no_fast_ma_slope,8350,222,222,0.02658682634730539,110,10.22972972972973,9.5,1.4738452009176495,0.0037294310797133653,0.002159635537681193,0.5045045045045045,0.12733172680956745,0.0005735663369800336,0.0011575611528142494,309.0,0.1545,79,5,0.30000000000000004,0.001524020069183157,0.5443037974683544,0.036119275639640826,0.0108,0.02531927563964081,0.023907312152070714,0.6,条件可能过严，考虑删除
