strategy_variant,observation_count,partial_signal_days,partial_position_days,partial_position_rate,partial_entry_count,avg_days_since_exit_at_signal,median_days_since_exit_at_signal,avg_rebound_score_at_signal,avg_fast_ma_slope_at_signal,partial_day_avg_asset_return,partial_day_positive_rate,partial_day_net_return_sum,net_return_per_signal_day,net_return_per_entry,total_turnover,transaction_cost_sum
v2_full,8350,143,143,0.01712574850299401,73,11.132867132867133,11.0,1.5702153384590694,0.010365103999800078,0.0025107797475507373,0.4825174825174825,0.09676245116992663,0.0006766604976917946,0.0013255130297250223,287.4,0.1437
v2_no_recent_exit,8350,373,373,0.04467065868263473,173,32.43699731903485,26.0,1.5673854085398733,0.01356093189209002,0.0014873096693354077,0.46380697050938335,0.14047995199863206,0.00037662185522421463,0.0008120228439227287,325.2,0.1626
v2_no_rebound_score,8350,375,375,0.04491017964071856,120,11.56,11.0,0.8531878317667488,0.009749131678923854,0.0014144844448967507,0.496,0.1411295000508844,0.00037634533346902506,0.0011760791670907033,299.7,0.14984999999999998
v2_no_fast_ma_slope,8350,222,222,0.02658682634730539,110,10.22972972972973,9.5,1.4738452009176495,0.0037294310797133653,0.002159635537681193,0.5045045045045045,0.12733172680956745,0.0005735663369800336,0.0011575611528142494,309.0,0.1545
