period,symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,strategy_name,total_turnover,full_position_rate,partial_position_rate,cash_rate,strategy_variant
development,300750,2018-08-07,2024-12-31,1554,6.345890612980121,0.3817823522069874,0.3703362654314674,1.0557129135297036,-0.33902985673327735,1.1261024497536938,6.128219484882388,0.3750587486267063,0.4653950143234227,0.9147311715385961,-0.6287827461607955,0.5964838426574675,0.006723603580281123,0.14098174199110758,0.2897528894275182,0.5698198198198198,35,29,64,0.0232,v2_no_rebound_score,46.4,0.5611325611325612,0.02895752895752896,0.4099099099099099,v2_no_rebound_score
development,600519,2018-01-02,2024-12-31,1699,0.3331107611836517,0.04356733663440315,0.21107741117517817,0.30759006050283016,-0.4090501368834617,0.10650854921194043,1.5030073746055472,0.14577915296999455,0.30603748152863786,0.5973682209630381,-0.4748220820330922,0.3070184780492889,-0.1022118163355914,-0.28977816046020793,0.06577194514963047,0.5378457916421424,51,41,92,0.0291,v2_no_rebound_score,58.2,0.5226603884638023,0.050618010594467334,0.42672160094173045,v2_no_rebound_score
development,600036,2018-01-02,2024-12-31,1699,-0.10423219508393711,-0.016193908043410032,0.20789909094132844,0.024978134666087618,-0.3192137849742205,-0.05073060376987743,0.7728174603174589,0.08863546837137193,0.2925257405941507,0.43598143859487015,-0.5093405356740941,0.1740200556668164,-0.10482937641478196,-0.41100330392878254,0.19012675069987361,0.5363743378457916,60,48,108,0.0347,v2_no_rebound_score,69.4,0.51854031783402,0.0594467333725721,0.4220129487934079,v2_no_rebound_score
development,000001,2018-01-02,2024-12-31,1699,-0.1892726119803222,-0.030642253524810426,0.23451287304183605,-0.015966861910965947,-0.48642868442591114,-0.06299433916191594,0.05697445972495485,0.00825249839409481,0.32012250780489054,0.18483709107142082,-0.623138033763654,0.013243451606141004,-0.038894751918905235,-0.20080395298238676,0.1367093493377428,0.48240141259564445,48,38,86,0.028899999999999995,v2_no_rebound_score,57.8,0.4714537963507946,0.03649205414949971,0.4920541494997057,v2_no_rebound_score
development,000002,2018-01-02,2024-12-31,1699,-0.7496161609769976,-0.1856712715982125,0.2503697838521661,-0.6954043878116418,-0.839571844666937,-0.22114995015330627,-0.6906689390711538,-0.15973103673827094,0.37105871283913594,-0.28488979603605985,-0.7998712998712993,-0.19969592203642253,-0.02594023485994157,-0.41051459177558197,-0.03970054479563767,0.41277221895232485,54,46,100,0.033949999999999994,v2_no_rebound_score,67.89999999999999,0.39846968805179517,0.047675103001765744,0.5538552089464391,v2_no_rebound_score
development,300750,2018-08-07,2024-12-31,1554,6.810250743639989,0.3955856099500834,0.3702212978771086,1.0828139967842438,-0.335427816607898,1.1793464655094705,6.128219484882388,0.3750587486267063,0.4653950143234227,0.9147311715385961,-0.6287827461607955,0.5964838426574675,0.02052686132337711,0.16808282524564777,0.29335492955289755,0.5676962676962677,38,33,71,0.024399999999999998,v2_no_fast_ma_slope,48.8,0.5611325611325612,0.021879021879021878,0.416988416988417,v2_no_fast_ma_slope
development,600519,2018-01-02,2024-12-31,1699,0.255067101580559,0.03427143971326907,0.2104516118182206,0.2653540049065385,-0.4372354756241348,0.07838211129677451,1.5030073746055472,0.14577915296999455,0.30603748152863786,0.5973682209630381,-0.4748220820330922,0.3070184780492889,-0.11150771325672548,-0.3320142160564996,0.03758660640895739,0.5300765155974102,50,47,97,0.030899999999999997,v2_no_fast_ma_slope,61.8,0.5226603884638023,0.024720423778693348,0.4526191877575044,v2_no_fast_ma_slope
development,600036,2018-01-02,2024-12-31,1699,-0.08063652590002046,-0.012392599944686222,0.20766227596492193,0.04333962826444145,-0.31188422701546814,-0.03973461583253327,0.7728174603174589,0.08863546837137193,0.2925257405941507,0.43598143859487015,-0.5093405356740941,0.1740200556668164,-0.10102806831605815,-0.3926418103304287,0.19745630865862596,0.5289582107121836,53,48,101,0.0347,v2_no_fast_ma_slope,69.4,0.51854031783402,0.034726309593878756,0.4467333725721012,v2_no_fast_ma_slope
development,000001,2018-01-02,2024-12-31,1699,-0.18202893488012095,-0.029362492060424183,0.23439220395179824,-0.010466731131307944,-0.4852581277954241,-0.06050901649771618,0.05697445972495485,0.00825249839409481,0.32012250780489054,0.18483709107142082,-0.623138033763654,0.013243451606141004,-0.03761499045451899,-0.19530382220272877,0.13787990596822985,0.4790464979399647,44,39,83,0.029199999999999997,v2_no_fast_ma_slope,58.4,0.4714537963507946,0.025309005297233667,0.5032371983519718,v2_no_fast_ma_slope
development,000002,2018-01-02,2024-12-31,1699,-0.7626728412227819,-0.1921142571140455,0.24995070818289955,-0.7287440617534743,-0.8478976769158163,-0.2265771712134548,-0.6906689390711538,-0.15973103673827094,0.37105871283913594,-0.28488979603605985,-0.7998712998712993,-0.19969592203642253,-0.03238322037577457,-0.44385426571741443,-0.048026377044516955,0.4062389640965274,53,50,103,0.0353,v2_no_fast_ma_slope,70.6,0.39846968805179517,0.025897586815773983,0.5756327251324308,v2_no_fast_ma_slope
