baseline_name,candidate_name,stock_count,avg_annual_return_diff,median_annual_return_diff,annual_return_win_rate,avg_sharpe_diff,median_sharpe_diff,sharpe_win_rate,avg_drawdown_diff,drawdown_win_rate,avg_calmar_diff,calmar_win_rate,avg_excess_return_diff,excess_return_win_rate,avg_exposure_diff,avg_trade_count_diff,avg_turnover_diff,avg_transaction_cost_diff
binary,v1,5,0.0006087843941965821,0.0015477740405824836,0.6,0.013464685242557681,0.016206255445270545,0.8,-0.00572574134670587,0.2,-0.011543348553191331,0.8,0.0006087843941965821,0.6,0.0549262000586309,147.8,37.49999999999999,0.018749999999999996
binary,v2,5,0.0019631350127279567,4.778510653613566e-05,0.6,0.013828282178288426,0.0016520044054482153,0.6,0.01112175546269747,0.6,1.294366084421128e-05,0.6,0.0019631350127279567,0.6,0.005119227526525915,25.4,6.479999999999995,0.003239999999999999
v1,v2,5,0.0013543506185313748,0.0016191442872324213,0.8,0.0003635969357307478,0.005495597703419298,0.6,0.01684749680940334,0.8,0.011556292214035542,0.4,0.0013543506185313748,0.8,-0.04980697253210499,-122.4,-31.020000000000003,-0.015509999999999996
