strategy_name,stock_count,avg_annual_return,median_annual_return,avg_sharpe,median_sharpe,avg_max_drawdown,avg_calmar,avg_excess_return,avg_exposure,avg_trade_count,avg_turnover,avg_transaction_cost,avg_partial_position_rate
binary_10_40,5,0.03599987872240207,-0.02592350951699507,0.11367746531489545,-0.024098868626557683,-0.4960695958416279,0.18030564374256228,-0.055599087602377265,0.4944513503665946,51.0,51.0,0.025500000000000002,0.0
graded_v1,5,0.03660866311659865,-0.01863668695995513,0.12714215055745312,0.015090971132468227,-0.5017953371883339,0.16876229518937097,-0.05499030320818068,0.5493775504252255,198.8,88.5,0.04425,0.18308733352876966
graded_v2,5,0.03796301373513002,-0.017017542672722707,0.12750574749318386,0.020586568835887525,-0.48494784037893046,0.1803185874034065,-0.0536359525896493,0.4995705778931206,76.4,57.48,0.028739999999999998,0.01706409175508646
