strategy_name,position_state,observation_count,stock_count,average_position,strategy_mean_daily_return,benchmark_mean_daily_return,active_mean_daily_return,active_return_sum,active_log_return_sum,missed_upside_sum,avoided_downside_sum,transaction_cost_sum,observation_rate
graded_v1,cash,2699,5,0.0,-4.001482030381623e-05,0.000798008572582908,-0.0008380233928867242,-2.2618251374012686,-1.6328165941217792,-22.065103120999105,19.911277983597834,0.108,0.32323353293413176
graded_v1,full,4119,5,1.0,0.00039509400905760674,0.00040673518410009284,-1.164117504248605e-05,-0.04795000000000004,-0.047890225698837316,0.0,0.0,0.04795,0.4932934131736527
graded_v1,partial,1532,5,0.3,6.99138360128474e-05,0.0003751261896685864,-0.00030521235365573893,-0.4675853258005921,-0.16048804929540897,-8.32340275863755,7.921117432836958,0.0653,0.18347305389221558
graded_v2,cash,4088,5,0.0,-1.75146771037182e-05,0.0005796176507029812,-0.0005971323278066995,-2.4410769560737875,-1.5080902626158383,-32.73591137129724,30.366434415223452,0.0716,0.4895808383233533
graded_v2,full,4119,5,1.0,0.00039188934773204235,0.00040673518410009284,-1.4845836368050508e-05,-0.061150000000000045,-0.061091372382022564,0.0,0.0,0.06115,0.4932934131736527
graded_v2,partial,143,5,0.3,0.0006766604976917945,0.0025107797475507373,-0.0018341192498589425,-0.26227905272982877,-0.2316091523572506,-0.8538369834288543,0.6025079306990255,0.01095,0.01712574850299401
