strategy_name,symbol,year,strategy_return,benchmark_return,excess_return
binary_10_40,000001,2018,-0.050477855460421606,-0.2838899803536329,0.23341212489321128
binary_10_40,000001,2019,0.42521488319608114,0.7736625514403306,-0.34844766824424944
binary_10_40,000001,2020,-0.19885291618902057,0.19566898685228207,-0.39452190304130264
binary_10_40,000001,2021,-0.12075480254787019,-0.14165588615782765,0.02090108360995746
binary_10_40,000001,2022,-0.1535075565274866,-0.18688771665410697,0.03338016012662037
binary_10_40,000001,2023,-0.07173308679721135,-0.26876737720111255,0.1970342904039012
binary_10_40,000001,2024,0.0023625506355458015,0.36375158428390386,-0.36138903364835806
binary_10_40,000002,2018,-0.22036774154246075,-0.20323817639539776,-0.017129565147062986
binary_10_40,000002,2019,0.1195729748797365,0.40534759358288674,-0.28577461870315024
binary_10_40,000002,2020,-0.4178934237998835,-0.07534246575342418,-0.3425509580464593
binary_10_40,000002,2021,-0.29335170652620723,-0.27201646090534837,-0.021335245620858867
binary_10_40,000002,2022,-0.14140875671830722,-0.022046353872244073,-0.11936240284606314
binary_10_40,000002,2023,-0.10008421245961419,-0.39537572254335196,0.2952915100837378
binary_10_40,000002,2024,-0.11479740980964936,-0.30592734225621354,0.19112993244656418
binary_10_40,300750,2018,-0.05206286193772758,0.05963045912653975,-0.11169332106426733
binary_10_40,300750,2019,0.43105276797230374,0.44464993394979935,-0.013597165977495607
binary_10_40,300750,2020,1.7018093700796526,2.304681784930497,-0.6028724148508444
binary_10_40,300750,2021,0.6042159704015182,0.6754288876591035,-0.07121291725758527
binary_10_40,300750,2022,-0.11889214079136667,-0.3298761354252693,0.2109839946339026
binary_10_40,300750,2023,-0.061717168388289334,-0.24812697160883346,0.18640980322054412
binary_10_40,300750,2024,0.6233453356637833,0.6692015209125475,-0.045856185248764225
binary_10_40,600036,2018,-0.020641428707477094,-0.10317460317460336,0.08253317446712627
binary_10_40,600036,2019,0.13268524842929152,0.5309734513274329,-0.3982882028981414
binary_10_40,600036,2020,-0.11103363248554599,0.20592485549132977,-0.31695848797687576
binary_10_40,600036,2021,0.02372719684295399,0.13660874775314502,-0.11288155091019103
binary_10_40,600036,2022,-0.0871536721950591,-0.20189773326304683,0.11474406106798773
binary_10_40,600036,2023,-0.10737703004587285,-0.21202113606340778,0.10464410601753493
