symbol,strategy_name,strategy_annual_return,strategy_sharpe,strategy_max_drawdown,strategy_calmar,excess_annual_return,exposure,total_trade_count,total_transaction_cost,total_turnover,full_position_rate,partial_position_rate,cash_rate
300750,binary_10_40,0.3979124441879065,1.0879170469449884,-0.3350343251948896,1.1876766476283904,0.022853695561200205,0.5611325611325612,41,0.0205,41.0,0.5611325611325612,0.0,0.43886743886743884
600519,binary_10_40,0.03764137605364293,0.2808945101092456,-0.42331517363965787,0.08892045076013437,-0.10813777691635162,0.5226603884638023,48,0.024,48.0,0.5226603884638023,0.0,0.47733961153619775
600036,binary_10_40,-0.02592350951699507,-0.024098868626557683,-0.362151189065964,-0.07158200856348212,-0.114558977888367,0.51854031783402,58,0.029,58.0,0.51854031783402,0.0,0.48145968216598
000001,binary_10_40,-0.04161927597116444,-0.06572426113457795,-0.5162450985180066,-0.08061921767517326,-0.04987177436525925,0.4714537963507946,50,0.025,50.0,0.4714537963507946,0.0,0.5285462036492055
000002,binary_10_40,-0.18801164114137958,-0.7106011007186211,-0.8436021927896217,-0.222867653437058,-0.028280604403108645,0.39846968805179517,58,0.029,58.0,0.39846968805179517,0.0,0.6015303119482048
300750,graded_v1,0.3855901570521254,1.0585483377371065,-0.35465822489259125,1.0872161703535903,0.010531408425419109,0.6093951093951094,151,0.033999999999999996,68.0,0.5611325611325612,0.16087516087516088,0.277992277992278
600519,graded_v1,0.044613274700276984,0.31090062856545897,-0.41840559165397107,0.10662686061130121,-0.10116587826971757,0.5770453207769276,194,0.0426,85.19999999999999,0.5226603884638023,0.1812831077104179,0.29605650382577986
600036,graded_v1,-0.01863668695995513,0.015090971132468227,-0.3701820877655815,-0.05034464814990413,-0.10727215533132706,0.5778693349028841,214,0.0485,97.0,0.51854031783402,0.19776339022954678,0.2836962919364332
000001,graded_v1,-0.040071501930581954,-0.05443433937441756,-0.5182403999029632,-0.07732222717118359,-0.048324000324676764,0.5235432607416127,198,0.0436,87.2,0.4714537963507946,0.17363154796939376,0.3549146556798117
000002,graded_v1,-0.18845192727887206,-0.6943948452733506,-0.8474903817265621,-0.22236467969694904,-0.02872089054060112,0.45903472630959385,237,0.05254999999999999,105.1,0.39846968805179517,0.201883460859329,0.3996468510888758
300750,graded_v2,0.39034164169888275,1.0729621168463759,-0.3368933946249253,1.1586503265623929,0.015282893072176451,0.5651866151866152,56,0.0223,44.599999999999994,0.5611325611325612,0.013513513513513514,0.42535392535392536
600519,graded_v2,0.03527238688826961,0.2699812646060141,-0.43253570380964623,0.08154791980777745,-0.11050676608172494,0.5268981753972926,77,0.0279,55.8,0.5226603884638023,0.014125956444967627,0.46321365509123014
600036,graded_v2,-0.017017542672722707,0.020586568835887525,-0.3218358169233998,-0.05287647234357715,-0.10565301104409464,0.5257798705120659,91,0.0332,66.39999999999999,0.51854031783402,0.02413184226015303,0.457327839905827
000001,graded_v2,-0.030817561203936084,-0.01705211650918528,-0.4899341577284295,-0.06290143423928865,-0.03907005959803089,0.4762213066509711,71,0.0274,54.8,0.4714537963507946,0.015891701000588582,0.5126545026486168
000002,graded_v2,-0.18796385603484345,-0.7089490963131729,-0.8435401288082516,-0.22282740277027205,-0.02823281929657251,0.403766921718658,87,0.0329,65.8,0.39846968805179517,0.017657445556209534,0.5838728663919953
