date,open,high,low,close,volume,amount,outstanding_share,turnover,symbol
2015-01-05,4.04,4.38,3.99,4.27,831254400.0,4274376192.0,21196596395.0,0.03921640930031965,600050
2015-01-06,4.19,4.27,4.1,4.2,563469760.0,2905527296.0,21196596395.0,0.026583030100668197,600050
2015-01-07,4.15,4.39,4.14,4.36,615626688.0,3246405632.0,21196596395.0,0.029043657600859838,600050
2015-01-08,4.37,4.37,4.08,4.1,548668480.0,2829286144.0,21196596395.0,0.025884744407806137,600050
2015-01-09,4.06,4.24,4.04,4.05,514900896.0,2617789184.0,21196596395.0,0.024291678079102284,600050
2015-01-12,4.04,4.11,3.87,3.94,410938272.0,2012298496.0,21196596395.0,0.019386993286192634,600050
2015-01-13,3.91,3.98,3.89,3.94,209982800.0,1018540736.0,21196596395.0,0.009906439509766399,600050
2015-01-14,3.93,3.97,3.85,3.88,232159888.0,1118285952.0,21196596395.0,0.010952696540222065,600050
2015-01-15,3.88,4.05,3.86,4.04,303983296.0,1477892608.0,21196596395.0,0.01434113714934468,600050
2015-01-16,4.06,4.1,4.01,4.09,263942032.0,1321260928.0,21196596395.0,0.012452095000603987,600050
2015-01-19,3.85,3.94,3.68,3.69,444211456.0,2073733888.0,21196596395.0,0.02095673511549164,600050
2015-01-20,3.72,3.81,3.67,3.75,290367360.0,1336615808.0,21196596395.0,0.013698772887353456,600050
2015-01-21,3.78,3.94,3.75,3.9,335121600.0,1585277696.0,21196596395.0,0.015810160921828506,600050
2015-01-22,3.91,3.93,3.84,3.91,223912816.0,1072077120.0,21196596395.0,0.010563621245004132,600050
2015-01-23,3.91,3.98,3.87,3.89,250063520.0,1207768192.0,21196596395.0,0.011797343089430467,600050
2015-01-26,3.88,3.93,3.86,3.92,170142816.0,814861184.0,21196596395.0,0.008026893225184703,600050
2015-01-27,3.93,3.93,3.73,3.84,289210752.0,1362121216.0,21196596395.0,0.013644207145833141,600050
2015-01-28,3.8,3.81,3.75,3.76,185397408.0,861023616.0,21196596395.0,0.008746564993035054,600050
2015-01-29,3.7,3.73,3.66,3.7,194423472.0,884992064.0,21196596395.0,0.009172391094159908,600050
2015-01-30,3.72,3.74,3.66,3.67,150083232.0,682753856.0,21196596395.0,0.007080534497293286,600050
2015-02-02,3.62,3.65,3.6,3.61,148683168.0,663137664.0,21196596395.0,0.007014483138201962,600050
2015-02-03,3.62,3.69,3.62,3.68,166743456.0,747528064.0,21196596395.0,0.007866520307917577,600050
2015-02-04,3.68,3.77,3.67,3.68,193027200.0,883983488.0,21196596395.0,0.009106518631714505,600050
2015-02-05,3.76,3.77,3.67,3.69,207053152.0,950310272.0,21196596395.0,0.009768226376610215,600050
2015-02-06,3.65,3.65,3.47,3.54,237929248.0,1045818368.0,21196596395.0,0.01122487986118962,600050
2015-02-09,3.51,3.59,3.5,3.56,115427040.0,505321824.0,21196596395.0,0.005445545966390516,600050
2015-02-10,3.55,3.6,3.54,3.58,109782160.0,483397088.0,21196596395.0,0.005179235286373438,600050
2015-02-11,3.6,3.71,3.57,3.69,164502064.0,737725184.0,21196596395.0,0.007760777293415083,600050
2015-02-12,3.73,4.06,3.7,4.0,585349632.0,2847857408.0,21196596395.0,0.02761526525730689,600050
2015-02-13,3.84,4.01,3.83,3.94,611523136.0,2956788480.0,21196596395.0,0.028850062746123256,600050
2015-02-16,3.94,4.34,3.92,4.34,822815488.0,4273916928.0,21196596395.0,0.038818283495462104,600050
2015-02-17,4.37,4.77,4.33,4.5,977260096.0,5465817600.0,21196596395.0,0.04610457630973824,600050
2015-02-25,4.53,4.53,4.28,4.3,567596800.0,3057062400.0,21196596395.0,0.026777733057836053,600050
2015-02-26,4.28,4.36,4.15,4.35,543662592.0,2839897600.0,21196596395.0,0.025648579699722118,600050
2015-02-27,4.31,4.75,4.26,4.59,759979008.0,4219332608.0,21196596395.0,0.035853822653304335,600050
2015-03-02,4.59,4.66,4.44,4.54,469107104.0,2615725568.0,21196596395.0,0.022131246699147237,600050
2015-03-03,4.49,4.52,4.32,4.36,454886016.0,2470223104.0,21196596395.0,0.02146033294794921,600050
2015-03-04,4.33,4.5,4.3,4.39,372427360.0,2012317056.0,21196596395.0,0.017570149143748888,600050
2015-03-05,4.34,4.34,4.21,4.3,404348864.0,2125673088.0,21196596395.0,0.019076122244577935,600050
2015-03-06,4.29,4.32,4.22,4.23,220461504.0,1156692480.0,21196596395.0,0.010400797368204076,600050
2015-03-09,4.2,4.31,4.11,4.28,260922992.0,1350865536.0,21196596395.0,0.01230966458660072,600050
2015-03-10,4.29,4.31,4.2,4.21,213844832.0,1117946624.0,21196596395.0,0.010088640082350353,600050
2015-03-11,4.21,4.26,4.16,4.19,213754160.0,1106682880.0,21196596395.0,0.010084362414449793,600050
2015-03-12,4.23,4.32,4.19,4.27,273553536.0,1437555968.0,21196596395.0,0.012905540630312124,600050
2015-03-13,4.28,4.31,4.23,4.26,229017680.0,1201073280.0,21196596395.0,0.010804455381998134,600050
2015-03-16,4.2,4.35,4.18,4.34,379615456.0,2003744896.0,21196596395.0,0.017909264719950337,600050
2015-03-17,4.34,4.46,4.32,4.42,420503904.0,2275048704.0,21196596395.0,0.01983827479487185,600050
2015-03-18,4.44,4.5,4.38,4.49,413301760.0,2263912704.0,21196596395.0,0.019498496470758506,600050
2015-03-19,4.52,4.7,4.48,4.58,562778496.0,3185607936.0,21196596395.0,0.026550418072438842,600050
2015-03-20,4.54,4.57,4.47,4.52,437053760.0,2424771072.0,21196596395.0,0.02061905373181023,600050
2015-03-23,4.52,4.59,4.47,4.56,427351360.0,2383108096.0,21196596395.0,0.020161319866467176,600050
2015-03-24,4.53,4.54,4.37,4.46,490427744.0,2690830592.0,21196596395.0,0.023137098752122557,600050
2015-03-25,4.43,4.44,4.33,4.35,387734336.0,2088450432.0,21196596395.0,0.018292292251762717,600050
2015-03-26,4.32,4.46,4.3,4.43,347102048.0,1881607424.0,21196596395.0,0.016375367135917956,600050
2015-03-27,4.41,4.42,4.35,4.38,216673840.0,1168082048.0,21196596395.0,0.010222105283427037,600050
2015-03-30,4.4,4.57,4.38,4.56,502549920.0,2778886656.0,21196596395.0,0.023708991322708064,600050
2015-03-31,4.59,4.61,4.41,4.45,473054400.0,2626604032.0,21196596395.0,0.02231746980433082,600050
2015-04-01,4.44,4.89,4.43,4.89,883125760.0,5082422784.0,21196596395.0,0.041663564448880946,600050
2015-04-02,4.89,4.92,4.72,4.84,844434112.0,5008799232.0,21196596395.0,0.03983819365448648,600050
2015-04-03,4.8,4.9,4.72,4.84,511948896.0,3026968064.0,21196596395.0,0.024152410437024787,600050
2015-04-07,4.84,5.14,4.84,4.98,589434560.0,3639078400.0,21196596395.0,0.027807981480415408,600050
2015-04-08,4.98,5.1,4.87,5.02,547450816.0,3355444224.0,21196596395.0,0.02582729820383505,600050
2015-04-09,5.01,5.02,4.8,4.89,432778112.0,2610428928.0,21196596395.0,0.02041733983773389,600050
2015-04-10,4.87,5.0,4.84,4.97,455573600.0,2773501696.0,21196596395.0,0.021492771363399825,600050
2015-04-13,4.97,5.19,4.94,5.1,518999328.0,3243487488.0,21196596395.0,0.024485031385624967,600050
2015-04-14,5.07,5.1,4.97,5.01,412082624.0,2549569792.0,21196596395.0,0.019440980821675922,600050
2015-04-15,4.98,5.16,4.92,5.0,519636480.0,3212923392.0,21196596395.0,0.024515090551168652,600050
2015-04-16,5.0,5.5,4.96,5.39,913604992.0,5976368640.0,21196596395.0,0.04310149492753032,600050
2015-04-17,5.45,5.92,5.33,5.75,1081251840.0,7493941760.0,21196596395.0,0.05101063490811446,600050
2015-04-20,5.78,6.32,5.53,6.32,1379086848.0,10394256384.0,21196596395.0,0.06506171190414838,600050
2015-04-21,6.5,6.74,6.02,6.5,1359638656.0,10740528128.0,21196596395.0,0.06414419705234944,600050
2015-04-22,6.38,6.7,6.27,6.49,948091584.0,7592925696.0,21196596395.0,0.04472848217384761,600050
2015-04-23,6.45,7.14,6.39,7.14,951021632.0,8023052288.0,21196596395.0,0.044866714177958004,600050
2015-04-24,7.15,7.86,7.04,7.38,1721667840.0,16033329152.0,21196596395.0,0.08122378743816243,600050
2015-04-27,7.24,8.12,7.23,8.12,1535005824.0,14594803712.0,21196596395.0,0.07241756154597008,600050
2015-04-28,7.88,8.73,7.76,8.57,1644112128.0,16746140672.0,21196596395.0,0.07756491171327037,600050
2015-04-29,8.44,8.44,7.94,8.09,965735232.0,9694209024.0,21196596395.0,0.045560863357657,600050
2015-04-30,8.0,8.0,7.65,7.74,886111616.0,8526083072.0,21196596395.0,0.041804429328522866,600050
2015-05-04,7.6,8.4,7.49,8.08,1059080128.0,10295324672.0,21196596395.0,0.04996463150328338,600050
2015-05-05,7.92,7.95,7.27,7.27,915002944.0,8529790976.0,21196596395.0,0.04316744664798341,600050
2015-05-06,7.25,7.62,7.08,7.31,815547904.0,7362132992.0,21196596395.0,0.03847541788323983,600050
2015-05-07,7.23,7.44,6.81,6.95,621094848.0,5384858112.0,21196596395.0,0.02930163109330648,600050
2015-05-08,7.04,7.14,6.79,7.07,638015616.0,5487386624.0,21196596395.0,0.030099908688665675,600050
2015-05-11,7.14,7.33,6.91,7.27,745398336.0,6567406080.0,21196596395.0,0.03516594466910875,600050
2015-05-12,7.28,7.54,7.18,7.49,843497792.0,7675782656.0,21196596395.0,0.03979402052486927,600050
2015-05-13,7.42,7.43,7.12,7.15,697720256.0,6231340544.0,21196596395.0,0.032916617507732664,600050
2015-05-14,7.23,7.4,7.15,7.2,526037184.0,4697118720.0,21196596395.0,0.024817059031424747,600050
2015-05-15,7.22,7.25,6.78,6.92,559130944.0,4785442816.0,21196596395.0,0.02637833610550285,600050
2015-05-18,6.78,6.92,6.64,6.69,480393344.0,3979498240.0,21196596395.0,0.022663701994784336,600050
