period,symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,strategy_name,total_turnover,full_position_rate,partial_position_rate,cash_rate,experiment_name
development,300750,2018-08-07,2024-12-31,1554,6.345890612980121,0.3817823522069874,0.3703362654314674,1.0557129135297036,-0.33902985673327735,1.1261024497536938,6.128219484882388,0.3750587486267063,0.4653950143234227,0.9147311715385961,-0.6287827461607955,0.5964838426574675,0.006723603580281123,0.14098174199110758,0.2897528894275182,0.5698198198198198,35,29,64,0.0232,recent_exit_and_slope,46.4,0.5611325611325612,0.02895752895752896,0.4099099099099099,recent_exit_and_slope
development,600519,2018-01-02,2024-12-31,1699,0.3331107611836517,0.04356733663440315,0.21107741117517817,0.30759006050283016,-0.4090501368834617,0.10650854921194043,1.5030073746055472,0.14577915296999455,0.30603748152863786,0.5973682209630381,-0.4748220820330922,0.3070184780492889,-0.1022118163355914,-0.28977816046020793,0.06577194514963047,0.5378457916421424,51,41,92,0.0291,recent_exit_and_slope,58.2,0.5226603884638023,0.050618010594467334,0.42672160094173045,recent_exit_and_slope
development,600036,2018-01-02,2024-12-31,1699,-0.10423219508393711,-0.016193908043410032,0.20789909094132844,0.024978134666087618,-0.3192137849742205,-0.05073060376987743,0.7728174603174589,0.08863546837137193,0.2925257405941507,0.43598143859487015,-0.5093405356740941,0.1740200556668164,-0.10482937641478196,-0.41100330392878254,0.19012675069987361,0.5363743378457916,60,48,108,0.0347,recent_exit_and_slope,69.4,0.51854031783402,0.0594467333725721,0.4220129487934079,recent_exit_and_slope
development,000001,2018-01-02,2024-12-31,1699,-0.1892726119803222,-0.030642253524810426,0.23451287304183605,-0.015966861910965947,-0.48642868442591114,-0.06299433916191594,0.05697445972495485,0.00825249839409481,0.32012250780489054,0.18483709107142082,-0.623138033763654,0.013243451606141004,-0.038894751918905235,-0.20080395298238676,0.1367093493377428,0.48240141259564445,48,38,86,0.028899999999999995,recent_exit_and_slope,57.8,0.4714537963507946,0.03649205414949971,0.4920541494997057,recent_exit_and_slope
development,000002,2018-01-02,2024-12-31,1699,-0.7496161609769976,-0.1856712715982125,0.2503697838521661,-0.6954043878116418,-0.839571844666937,-0.22114995015330627,-0.6906689390711538,-0.15973103673827094,0.37105871283913594,-0.28488979603605985,-0.7998712998712993,-0.19969592203642253,-0.02594023485994157,-0.41051459177558197,-0.03970054479563767,0.41277221895232485,54,46,100,0.033949999999999994,recent_exit_and_slope,67.89999999999999,0.39846968805179517,0.047675103001765744,0.5538552089464391,recent_exit_and_slope
development,300750,2018-08-07,2024-12-31,1554,6.150661161071973,0.37575983730315454,0.3711559961555395,1.0424149473915976,-0.35786428994867303,1.0500065188316168,6.128219484882388,0.3750587486267063,0.4653950143234227,0.9147311715385961,-0.6287827461607955,0.5964838426574675,0.0007010886764482471,0.1276837758530015,0.2709184562121225,0.5815958815958816,52,45,97,0.028,recent_exit_only,56.0,0.5611325611325612,0.0682110682110682,0.37065637065637064,recent_exit_only
development,600519,2018-01-02,2024-12-31,1699,0.2883145437022909,0.038290138962607356,0.21197574203368544,0.2832617672924985,-0.41487075877163637,0.09229413775986073,1.5030073746055472,0.14577915296999455,0.30603748152863786,0.5973682209630381,-0.4748220820330922,0.3070184780492889,-0.1074890140073872,-0.3141064536705396,0.0599513232614558,0.5530311948204826,68,58,126,0.034199999999999994,recent_exit_only,68.4,0.5226603884638023,0.10123602118893467,0.3761035903472631,recent_exit_only
development,600036,2018-01-02,2024-12-31,1699,-0.06608117091219612,-0.010088943751467072,0.20877936392961272,0.0553803302646212,-0.3134177887753704,-0.0321900801830298,0.7728174603174589,0.08863546837137193,0.2925257405941507,0.43598143859487015,-0.5093405356740941,0.1740200556668164,-0.098724412122839,-0.38060110833024896,0.1959227468987237,0.5542083578575633,80,67,147,0.0404,recent_exit_only,80.8,0.51854031783402,0.1188934667451442,0.3625662154208358,recent_exit_only
development,000001,2018-01-02,2024-12-31,1699,-0.21955974817779544,-0.036100966771379195,0.23525292185060184,-0.03918043246741991,-0.510696341004349,-0.07068969145222789,0.05697445972495485,0.00825249839409481,0.32012250780489054,0.18483709107142082,-0.623138033763654,0.013243451606141004,-0.044353465165474004,-0.22401752353884075,0.11244169275930493,0.49493819894055324,67,57,124,0.0346,recent_exit_only,69.19999999999999,0.4714537963507946,0.07828134196586227,0.4502648616833431,recent_exit_only
development,000002,2018-01-02,2024-12-31,1699,-0.7664368892650693,-0.19402770650198198,0.25181198985042247,-0.730926938253333,-0.8507574288020081,-0.22806466324390678,-0.6906689390711538,-0.15973103673827094,0.37105871283913594,-0.28488979603605985,-0.7998712998712993,-0.19969592203642253,-0.03429666976371104,-0.44603714221727314,-0.05088612893070876,0.43078281341965863,83,75,158,0.04265,recent_exit_only,85.3,0.39846968805179517,0.10771041789287816,0.49381989405532667,recent_exit_only
