symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,strategy_name,signal_version,fast_window,slow_window,rebound_window,partial_position,rebound_return_threshold,volatility_window,fast_ma_slope_window,max_days_since_exit,rebound_score_threshold,full_position_rate,partial_position_rate,cash_rate,partial_signal_rate,partial_entry_count,partial_exit_count,total_turnover,avg_rebound_score_at_partial_signal,avg_days_since_exit_at_partial_signal,avg_fast_ma_slope_at_partial_signal,strategy_variant,use_recent_exit_condition,use_rebound_score_condition,use_fast_ma_slope_condition,experiment_name
300750,2018-08-07,2026-07-10,1921,7.03354860226036,0.3143386311007219,0.3559599766286428,0.9432411897329428,-0.33902985673327735,0.9271709404284691,8.763717805151126,0.34840198506893794,0.4491067907949694,0.8880993884921491,-0.6287827461607955,0.5540896075730468,-0.034063353968216026,0.05514180124079371,0.2897528894275182,0.5691827173347216,49,41,90,0.0319,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5585632483081728,0.035398230088495575,0.4060385216033316,0.035398230088495575,21,21,63.8,0.8155323533216697,11.205882352941176,0.010975165195121442,v2_no_rebound_score,True,False,True,recent_exit_and_slope
600519,2015-03-09,2026-07-10,2758,2.7584529424741047,0.12859703271288825,0.21678024691632694,0.665976846079555,-0.5489725111464867,0.2342504043496154,8.264088567694346,0.22556768826453655,0.29736508925824157,0.8322036298588344,-0.47528006645264,0.4745995133945168,-0.0969706555516483,-0.16622678377927946,-0.07369244469384673,0.5855329949238579,88,70,158,0.0504,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5710659898477157,0.048223350253807105,0.38071065989847713,0.048223350253807105,46,46,100.79999999999998,0.7618107629832218,10.38345864661654,0.006929852521346786,v2_no_rebound_score,True,False,True,recent_exit_and_slope
600036,2015-03-09,2026-07-10,2753,0.41020395545336075,0.03196447254721346,0.20561242697413984,0.2552786900769512,-0.31921378497422115,0.10013500059151527,3.2148571428571904,0.14074990091847073,0.28289750369343114,0.6063145324260087,-0.5093405356740928,0.2763375208929594,-0.10878542837125726,-0.35103584234905755,0.19012675069987162,0.5730475844533236,95,77,172,0.05405,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5543043952052307,0.0624772974936433,0.38321830730112605,0.06284053759535052,51,50,108.1,0.8598031590810364,12.028901734104046,0.008191208930844737,v2_no_rebound_score,True,False,True,recent_exit_and_slope
000001,2015-03-09,2026-07-10,2758,0.15337386269592912,0.013123159273174867,0.21923786989241395,0.168437456252648,-0.5032511241099045,0.026076760973729917,0.5188953488372157,0.03893003382437543,0.3032388138127958,0.2769875860752374,-0.6231380337636545,0.06247417380262319,-0.025806874551200565,-0.10855012982258938,0.11988690965375004,0.5131617113850617,79,66,145,0.047099999999999996,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5010877447425671,0.04024655547498187,0.45866569978245103,0.04060913705583756,40,40,94.2,0.859779635235507,11.901785714285714,0.0068261742189269165,v2_no_rebound_score,True,False,True,recent_exit_and_slope
000002,2015-03-09,2026-07-10,2623,-0.658633748703417,-0.09810701625980289,0.2797160011830072,-0.2307189032349554,-0.8569562946557808,-0.11448310359772802,-0.6160493827160478,-0.0878631423548345,0.38922452492585335,-0.04381026406909734,-0.9050836550836547,-0.09707737164551217,-0.010243873904968392,-0.18690863916585804,0.04812736042787391,0.4408311094166985,79,65,144,0.0503,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.4269919939001144,0.046130385055280214,0.5268776210446054,0.046130385055280214,35,35,100.6,0.8610781331855748,11.760330578512397,0.01204550525696877,v2_no_rebound_score,True,False,True,recent_exit_and_slope
300750,2018-08-07,2026-07-10,1921,7.101237229120597,0.31578608426909116,0.35689419164595,0.9447933708283224,-0.35786428994867303,0.8824185400403685,8.763717805151126,0.34840198506893794,0.4491067907949694,0.8880993884921491,-0.6287827461607955,0.5540896075730468,-0.032615900799846775,0.05669398233617329,0.2709184562121225,0.5823008849557522,71,62,133,0.0382,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5585632483081728,0.07912545549193128,0.3623112961998959,0.07912545549193128,43,43,76.39999999999999,0.7057902569884478,10.427631578947368,-0.0018419324265257738,v2_no_rebound_score_no_fast_ma_slope,True,False,False,recent_exit_only
600519,2015-03-09,2026-07-10,2758,2.708995130136445,0.12723187940462122,0.21752056984417095,0.6588827345898505,-0.5409335879978818,0.23520794830939473,8.264088567694346,0.22556768826453655,0.29736508925824157,0.8322036298588344,-0.47528006645264,0.4745995133945168,-0.09833580885991533,-0.17332089526898398,-0.06565352154524184,0.5995649021029731,111,92,203,0.056999999999999995,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5710659898477157,0.09499637418419145,0.33393763596809284,0.09499637418419145,69,69,114.0,0.6845350521546238,9.263358778625955,-0.0002737782858021489,v2_no_rebound_score_no_fast_ma_slope,True,False,False,recent_exit_only
600036,2015-03-09,2026-07-10,2753,0.4272926401133692,0.033102904426357105,0.2063414875123881,0.26044770085556446,-0.3300963319378246,0.10028255761591502,3.2148571428571904,0.14074990091847073,0.28289750369343114,0.6063145324260087,-0.5093405356740928,0.2763375208929594,-0.10764699649211362,-0.3458668315704443,0.17924420373626815,0.5889575009081003,124,105,229,0.06245,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5543043952052307,0.11551035234289865,0.3301852524518707,0.11587359244460589,80,79,124.89999999999998,0.735858331876567,10.231974921630094,0.0006767089819532542,v2_no_rebound_score_no_fast_ma_slope,True,False,False,recent_exit_only
000001,2015-03-09,2026-07-10,2758,0.0917861429107032,0.00805598346377212,0.22001593924964902,0.14583031926284634,-0.5188225078615618,0.015527436342298608,0.5188953488372157,0.03893003382437543,0.3032388138127958,0.2769875860752374,-0.6231380337636545,0.06247417380262319,-0.03087405036060331,-0.13115726681239104,0.1043155259020927,0.5251269035532995,104,90,194,0.05445,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.5010877447425671,0.08013052936910806,0.41878172588832485,0.08049311094996374,65,64,108.9,0.7350396246573353,10.211711711711711,-0.0006595747230954369,v2_no_rebound_score_no_fast_ma_slope,True,False,False,recent_exit_only
000002,2015-03-09,2026-07-10,2623,-0.6852120475441463,-0.10510312096866248,0.2807381792547748,-0.25659555806133555,-0.866409343296454,-0.12130884988932994,-0.6160493827160478,-0.0878631423548345,0.38922452492585335,-0.04381026406909734,-0.9050836550836547,-0.09707737164551217,-0.017239978613827978,-0.21278529399223822,0.03867431178720071,0.45718642775447954,118,104,222,0.062,graded_v2,v2,10,40,5,0.3,0.0,20,3,20,1.0,0.4269919939001144,0.10064811284788411,0.4723598932520015,0.10064811284788411,74,74,124.0,0.663412207938658,10.075757575757576,-0.0005049762471314546,v2_no_rebound_score_no_fast_ma_slope,True,False,False,recent_exit_only
