comparison_name,extra_exposure_days,extra_entry_count,extra_stock_count,avg_position_increment,extra_exposure_avg_asset_return,extra_exposure_positive_rate,up_gross_contribution,down_gross_contribution,incremental_cost_sum,incremental_net_return_sum,incremental_log_return_sum,net_return_per_extra_day,net_return_per_extra_entry,incremental_stock_win_rate
remove_slope_with_recent_exit,421,421,5,0.2999999999999999,-0.0007049178059204687,0.45368171021377673,0.887184735206537,-0.9762158540942921,0.03,-0.11903111888775521,-0.1270247031904458,-0.00028273424913956107,-0.00028273424913956107,0.2
remove_recent_exit_with_slope,587,587,5,0.29999999999999993,0.00047478695626907076,0.4514480408858603,1.4187212126283317,-1.3351112296293484,0.026099999999999998,0.057509982998983314,0.04525881578949878,9.797271379724586e-05,9.797271379724586e-05,0.4
remove_both_conditions,1355,1355,5,0.29999999999999993,0.00023943869342101402,0.4487084870848708,3.1729827905092494,-3.075650961633607,0.0687,0.028631828875642196,0.0009080068447173475,2.1130501015234094e-05,2.1130501015234094e-05,0.4
remove_recent_exit_without_slope,934,934,5,0.29999999999999993,0.0006651068799550229,0.4464668094218415,2.2857980553027124,-2.0994351075393154,0.0387,0.14766294776339736,0.1279327100351632,0.00015809737447901217,0.00015809737447901217,0.6
remove_slope_without_recent_exit,768,768,5,0.29999999999999993,5.9556622728554016e-05,0.4466145833333333,1.7542615778809179,-1.740539732004259,0.0426,-0.02887815412334116,-0.04435080894478139,-3.76017631814338e-05,-3.76017631814338e-05,0.4
