strategy_name,observation_count,stock_count,active_return_sum,active_log_return_sum,missed_upside_loss,avoided_downside_benefit,transaction_cost_loss,net_timing_benefit,benefit_cost_ratio
base_only,8350,5,-2.6906071310470163,-1.7582853294021124,29.909528702581916,27.4374715715349,0.21855,-2.4720571310470163,0.9106943672841495
binary_10_40,8350,5,-2.8560184599735434,-1.8892152069733312,33.95567849048132,31.227160030507775,0.1275,-2.728518459973543,0.9162044566714586
recent_exit_and_slope,8350,5,-2.7192389599226585,-1.759193336246829,33.08251149309116,30.513122533168506,0.14984999999999998,-2.569388959922655,0.9181749704880897
recent_exit_only,8350,5,-2.838270078810414,-1.886218039437275,32.19532675788463,29.536906679074214,0.17984999999999998,-2.6584200788104155,0.9123319047788925
slope_only,8350,5,-2.6617289769236754,-1.7139345204573304,31.66379028046283,29.178011303539158,0.17595,-2.4857789769236724,0.9164023024849567
