experiment_name,stock_count,avg_annual_return,median_annual_return,avg_sharpe,median_sharpe,avg_max_drawdown,avg_calmar,avg_excess_return,avg_exposure,avg_trade_count,avg_turnover,avg_transaction_cost,avg_partial_position_rate
base_only,5,0.038349106043322756,-0.011823662992656803,0.13836301198168274,0.04844475182176497,-0.494672105247179,0.1667129552591318,-0.053249860281456576,0.5564588678479202,196.6,87.42,0.04371,0.206691724937752
recent_exit_and_slope,5,0.03856845113499152,-0.016193908043410032,0.13538197179520273,0.024978134666087618,-0.47865886153676157,0.1795472211761069,-0.05303051518978781,0.5078427161711446,90.0,59.94,0.029969999999999997,0.044637886015166765
recent_exit_only,5,0.03476647184818673,-0.010088943751467072,0.12218993484559289,0.0553803302646212,-0.4895213214604074,0.1622712443424626,-0.056832494476592596,0.5229112893268278,130.4,71.94,0.035969999999999995,0.09486646320077749
slope_only,5,0.0384500927705667,-0.01587584927329211,0.14375520646576445,0.027763947525678553,-0.49290298937554,0.15215997303951867,-0.053148873554212626,0.5289350234788728,137.2,70.38,0.03519,0.11494557704092725
