ma_param,fast_window,slow_window,stock_count,avg_strategy_annual_return,avg_benchmark_annual_return,avg_excess_annual_return,avg_strategy_sharpe,avg_benchmark_sharpe,avg_sharpe_diff,avg_strategy_max_drawdown,avg_benchmark_max_drawdown,avg_drawdown_improvement,avg_exposure,avg_trade_count,return_win_count,sharpe_win_count,drawdown_win_count,return_win_rate,sharpe_win_rate,drawdown_win_rate
10/30,10,30,5,-0.025067692492747384,-0.09972296820125141,0.07465527570850403,-0.15736939733829297,-0.1733343405169807,0.015964943178687747,-0.40496313243360493,-0.5899761165343019,0.18501298410069705,0.4191693290734825,38.0,3,2,5,0.6,0.4,1.0
20/120,20,120,5,-0.101221159328575,-0.10079756918652179,-0.00042359014205322064,-0.5567265102840009,-0.15753275680524445,-0.39919375347875635,-0.40728045624907727,-0.5584257449213788,0.15114528867230145,0.37809187279151946,13.4,2,1,4,0.4,0.2,0.8
20/60,20,60,5,-0.0715494640955382,-0.07765642557092312,0.00610696147538492,-0.4246057619440956,-0.11387185851493462,-0.31073390342916096,-0.39073867325135236,-0.5824845262454931,0.19174585299414065,0.40022002200220025,19.4,4,2,5,0.8,0.4,1.0
50/200,50,200,5,-0.08776306363563555,-0.09571543193501479,0.007952368299379241,-0.6808580099987255,-0.13442688266042796,-0.5464311273382976,-0.3871793280048933,-0.5346399761626601,0.14746064815776688,0.31547464239271783,5.4,3,2,4,0.6,0.4,0.8
