period,symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,fast_window,slow_window,ma_param
in_sample,000001,2021-02-22,2024-12-31,939,-0.4680579959590676,-0.15582977142145626,0.19304266482202725,-0.7812013260451431,-0.5330504275930941,-0.29233589048053343,-0.43546694648478557,-0.14224999977014297,0.2983125136811284,-0.3660675933896906,-0.6231380337636547,-0.2282800793124046,-0.0135797716513133,-0.41513373265545256,0.09008760617056066,0.3855165069222577,20,19,39,0.019500000000000003,10,30,10/30
in_sample,000002,2021-02-22,2024-12-31,939,-0.2779843505664741,-0.08369919504058476,0.2452536570826563,-0.2351386986344782,-0.43368201796466166,-0.1929966924462267,-0.7127028096557169,-0.28446305350600554,0.3900039148980404,-0.6651319920014593,-0.7807543179414865,-0.3643438748517105,0.20076385846542077,0.4299932933669811,0.34707229997682487,0.3141640042598509,17,17,34,0.017,10,30,10/30
in_sample,300750,2021-02-22,2024-12-31,939,1.3420653639433886,0.25657817127069915,0.3400725063558181,0.839132891536063,-0.37174421029313887,0.6902008536148403,0.2767387053101331,0.06776250108651816,0.4510964332107665,0.3686797753033041,-0.6287827461607955,0.10776774887711309,0.188815670184181,0.4704531162327589,0.2570385358676567,0.5090521831735889,20,19,39,0.0195,10,30,10/30
in_sample,600036,2021-02-22,2024-12-31,939,-0.19163438266155663,-0.0554941370924088,0.20465718293403806,-0.17723291526308074,-0.3403107516631332,-0.16306900919586972,-0.14743440910146055,-0.04190322603827468,0.2975300145743797,0.004246607976382008,-0.5093099671412922,-0.08227450617837591,-0.013590911054134125,-0.18147952323946276,0.168999215478159,0.4739084132055378,22,21,43,0.0215,10,30,10/30
in_sample,600519,2021-02-22,2024-12-31,939,-0.2873188187733746,-0.08689353017998624,0.1748614934726181,-0.4324069382848257,-0.34602825465399667,-0.25111686404589567,-0.318415597304606,-0.09776106277835206,0.29119400943538476,-0.20839850047343975,-0.40789551766428067,-0.23967182414300156,0.010867532598365814,-0.22400843781138594,0.061867263010284,0.4132055378061768,18,17,35,0.0175,10,30,10/30
in_sample,000001,2021-04-06,2024-12-31,909,-0.19464472260304255,-0.058246742302150434,0.1694833687905941,-0.26974495863744435,-0.24775478207423218,-0.23509835739395968,-0.37369033760186365,-0.12165666888820992,0.29164544692717725,-0.2999348471434556,-0.623138033763655,-0.19523229572976458,0.06340992658605948,0.03018988850601123,0.37538325168942277,0.3311331133113311,10,9,19,0.0095,20,60,20/60
in_sample,000002,2021-04-06,2024-12-31,909,-0.679824133112791,-0.27074400792326947,0.19544261828448292,-1.516076016697073,-0.6871666257200192,-0.3940005200915885,-0.7141732283464564,-0.29333001315963414,0.38934742551969864,-0.6987897186689455,-0.752683896620278,-0.3897120882707238,0.02258600523636467,-0.8172862980281276,0.06551727090025883,0.28052805280528054,10,10,20,0.01,20,60,20/60
in_sample,300750,2021-04-06,2024-12-31,909,0.5915343213045707,0.13749368030125142,0.3219002779960705,0.5586015971141782,-0.37128345965976284,0.3703199717737171,0.4883965628105462,0.11656086093107199,0.4424102011218232,0.46794228771047863,-0.6287827461607951,0.1853754124819203,0.020932819370179434,0.0906593094036996,0.25749928650103227,0.4961496149614962,8,7,15,0.0075,20,60,20/60
in_sample,600036,2021-04-06,2024-12-31,909,-0.35600813018467337,-0.11485107910414283,0.1717364197608868,-0.6246105459888786,-0.4281324949055608,-0.2682605979942661,-0.07645875251508782,-0.021809303804285918,0.2915354872716807,0.0694763605131536,-0.509309967141292,-0.04282127822217863,-0.09304177529985691,-0.6940869065020322,0.08117747223573113,0.44664466446644663,13,12,25,0.0125,20,60,20/60
in_sample,600519,2021-04-06,2024-12-31,909,-0.17332099239718368,-0.051399171449379666,0.15197944929890744,-0.27119888551126026,-0.21935600389718668,-0.23431850752291572,-0.22446782687619538,-0.06804700293355759,0.28330011080758816,-0.10805337498590434,-0.398507987541445,-0.17075442666373322,0.016647831484177922,-0.16314551052535592,0.17915198364425833,0.44664466446644663,9,9,18,0.009,20,60,20/60
