date,symbol,asset_return_binary,position_binary,position_change_binary,gross_strategy_return_binary,transaction_cost_binary,strategy_return_binary,slow_ma_binary,asset_return_graded,position_graded,position_change_graded,gross_strategy_return_graded,transaction_cost_graded,strategy_return_graded,slow_ma_graded,asset_return,position_increment,incremental_gross_return,incremental_transaction_cost,incremental_net_return,incremental_log_return,incremental_state
2018-01-02,000001,0.02946954813359537,1.0,0.0,0.02946954813359537,0.0,0.02946954813359537,10.177249999999999,0.02946954813359537,1.0,0.0,0.02946954813359537,0.0,0.02946954813359537,10.177249999999999,0.02946954813359537,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-03,000001,-0.026717557251908497,1.0,0.0,-0.026717557251908497,0.0,-0.026717557251908497,10.204249999999998,-0.026717557251908497,1.0,0.0,-0.026717557251908497,0.0,-0.026717557251908497,10.204249999999998,-0.026717557251908497,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-04,000001,-0.005882352941176339,1.0,0.0,-0.005882352941176339,0.0,-0.005882352941176339,10.22575,-0.005882352941176339,1.0,0.0,-0.005882352941176339,0.0,-0.005882352941176339,10.22575,-0.005882352941176339,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-05,000001,0.0039447731755424265,1.0,0.0,0.0039447731755424265,0.0,0.0039447731755424265,10.24425,0.0039447731755424265,1.0,0.0,0.0039447731755424265,0.0,0.0039447731755424265,10.24425,0.0039447731755424265,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-08,000001,-0.025540275049115935,0.0,-1.0,-0.0,0.0005,-0.0005,10.257,-0.025540275049115935,0.0,-1.0,-0.0,0.0005,-0.0005,10.257,-0.025540275049115935,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-09,000001,0.009072580645161255,0.0,0.0,0.0,0.0,0.0,10.260499999999999,0.009072580645161255,0.0,0.0,0.0,0.0,0.0,10.260499999999999,0.009072580645161255,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-10,000001,0.029970029970030065,0.0,0.0,0.0,0.0,0.0,10.2705,0.029970029970030065,0.0,0.0,0.0,0.0,0.0,10.2705,0.029970029970030065,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-11,000001,-0.005819592628516057,0.0,0.0,-0.0,0.0,-0.0,10.28,-0.005819592628516057,0.3,0.3,-0.001745877788554817,0.00015,-0.001895877788554817,10.28,-0.005819592628516057,0.3,-0.001745877788554817,0.00015,-0.001895877788554817,-0.0018976772395685464,added_exposure_down
2018-01-12,000001,0.011707317073170742,0.0,0.0,0.0,0.0,0.0,10.28875,0.011707317073170742,0.3,0.0,0.0035121951219512226,0.0,0.0035121951219512226,10.28875,0.011707317073170742,0.3,0.0035121951219512226,0.0,0.0035121951219512226,0.003506041768307277,added_exposure_up
2018-01-15,000001,0.04821600771456125,0.0,0.0,0.0,0.0,0.0,10.30825,0.04821600771456125,0.3,0.0,0.014464802314368374,0.0,0.014464802314368374,10.30825,0.04821600771456125,0.3,0.014464802314368374,0.0,0.014464802314368374,0.014361185068127844,added_exposure_up
2018-01-16,000001,0.0,0.0,0.0,0.0,0.0,0.0,10.307500000000001,0.0,0.3,0.0,0.0,0.0,0.0,10.307500000000001,0.0,0.3,0.0,0.0,0.0,0.0,added_exposure_flat
2018-01-17,000001,0.0018399264029440587,1.0,1.0,0.0018399264029440587,0.0005,0.0013399264029440587,10.30325,0.0018399264029440587,1.0,0.7,0.0018399264029440587,0.00035,0.0014899264029440587,10.30325,0.0018399264029440587,0.0,0.0,-0.00015000000000000001,0.00014999999999999996,0.00014978806119782142,same_exposure
2018-01-18,000001,0.03397612488521573,1.0,0.0,0.03397612488521573,0.0,0.03397612488521573,10.296,0.03397612488521573,1.0,0.0,0.03397612488521573,0.0,0.03397612488521573,10.296,0.03397612488521573,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-19,000001,0.006216696269982336,1.0,0.0,0.006216696269982336,0.0,0.006216696269982336,10.30475,0.006216696269982336,1.0,0.0,0.006216696269982336,0.0,0.006216696269982336,10.30475,0.006216696269982336,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-22,000001,-0.024713150926743088,1.0,0.0,-0.024713150926743088,0.0,-0.024713150926743088,10.302499999999998,-0.024713150926743088,1.0,0.0,-0.024713150926743088,0.0,-0.024713150926743088,10.302499999999998,-0.024713150926743088,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-23,000001,0.014479638009049722,1.0,0.0,0.014479638009049722,0.0,0.014479638009049722,10.31625,0.014479638009049722,1.0,0.0,0.014479638009049722,0.0,0.014479638009049722,10.31625,0.014479638009049722,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-24,000001,-0.000892060660125038,1.0,0.0,-0.000892060660125038,0.0,-0.000892060660125038,10.33425,-0.000892060660125038,1.0,0.0,-0.000892060660125038,0.0,-0.000892060660125038,10.33425,-0.000892060660125038,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-25,000001,-0.02946428571428572,1.0,0.0,-0.02946428571428572,0.0,-0.02946428571428572,10.3415,-0.02946428571428572,1.0,0.0,-0.02946428571428572,0.0,-0.02946428571428572,10.3415,-0.02946428571428572,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-26,000001,-0.011039558417663242,1.0,0.0,-0.011039558417663242,0.0,-0.011039558417663242,10.35425,-0.011039558417663242,1.0,0.0,-0.011039558417663242,0.0,-0.011039558417663242,10.35425,-0.011039558417663242,0.0,0.0,0.0,0.0,0.0,same_exposure
2018-01-29,000001,-0.022325581395348904,1.0,0.0,-0.022325581395348904,0.0,-0.022325581395348904,10.36825,-0.022325581395348904,1.0,0.0,-0.022325581395348904,0.0,-0.022325581395348904,10.36825,-0.022325581395348904,0.0,0.0,0.0,0.0,0.0,same_exposure
