period,symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,strategy_name,total_turnover,full_position_rate,partial_position_rate,cash_rate
development,300750,2018-08-07,2024-12-31,1554,6.471615863815812,0.3855901570521254,0.37281733225191416,1.0585483377371065,-0.35465822489259125,1.0872161703535903,6.128219484882388,0.3750587486267063,0.4653950143234227,0.9147311715385961,-0.6287827461607955,0.5964838426574675,0.010531408425419109,0.14381716619851048,0.2741245212682043,0.6093951093951094,83,68,151,0.033999999999999996,graded_10_40,68.0,0.5611325611325612,0.16087516087516088,0.277992277992278
development,600519,2018-01-02,2024-12-31,1699,0.342145060002073,0.044613274700276984,0.21412588693387608,0.31090062856545897,-0.41840559165397107,0.10662686061130121,1.5030073746055472,0.14577915296999455,0.30603748152863786,0.5973682209630381,-0.4748220820330922,0.3070184780492889,-0.10116587826971757,-0.28646759239757913,0.05641649037912111,0.5770453207769276,107,87,194,0.0426,graded_10_40,85.19999999999999,0.5226603884638023,0.1812831077104179,0.29605650382577986
development,600036,2018-01-02,2024-12-31,1699,-0.11912128296259361,-0.01863668695995513,0.21012641217800376,0.015090971132468227,-0.3701820877655815,-0.05034464814990413,0.7728174603174589,0.08863546837137193,0.2925257405941507,0.43598143859487015,-0.5093405356740941,0.1740200556668164,-0.10727215533132706,-0.42089046746240194,0.13915844790851262,0.5778693349028841,118,96,214,0.0485,graded_10_40,97.0,0.51854031783402,0.19776339022954678,0.2836962919364332
development,000001,2018-01-02,2024-12-31,1699,-0.2409796227564751,-0.040071501930581954,0.2371138901675258,-0.05443433937441756,-0.5182403999029632,-0.07732222717118359,0.05697445972495485,0.00825249839409481,0.32012250780489054,0.18483709107142082,-0.623138033763654,0.013243451606141004,-0.048324000324676764,-0.23927143044583837,0.10489763386069073,0.5235432607416127,110,88,198,0.0436,graded_10_40,87.2,0.4714537963507946,0.17363154796939376,0.3549146556798117
development,000002,2018-01-02,2024-12-31,1699,-0.7553242543489337,-0.18845192727887206,0.25425526011344013,-0.6943948452733506,-0.8474903817265621,-0.22236467969694904,-0.6906689390711538,-0.15973103673827094,0.37105871283913594,-0.28488979603605985,-0.7998712998712993,-0.19969592203642253,-0.02872089054060112,-0.40950504923729075,-0.04761908185526276,0.45903472630959385,129,108,237,0.05254999999999999,graded_10_40,105.1,0.39846968805179517,0.201883460859329,0.3996468510888758
