strategy_name,observation_count,stock_count,active_return_sum,active_log_return_sum,missed_upside_loss,avoided_downside_benefit,transaction_cost_loss,net_timing_benefit,benefit_cost_ratio
binary_10_40,8350,5,-2.8560184599735434,-1.8892152069733312,33.95567849048132,31.227160030507775,0.1275,-2.728518459973543,0.9162044566714586
graded_10_40,8350,5,-2.7773604632018607,-1.8411948691160256,30.388505879636654,27.832395416434792,0.22125,-2.556110463201861,0.9092655141020083
