period,symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,strategy_name,total_turnover,full_position_rate,partial_position_rate,cash_rate
development,300750,2018-08-07,2024-12-31,1554,6.890899056062892,0.3979124441879065,0.3699146735872401,1.0879170469449884,-0.3350343251948896,1.1876766476283904,6.128219484882388,0.3750587486267063,0.4653950143234227,0.9147311715385961,-0.6287827461607955,0.5964838426574675,0.022853695561200205,0.1731858754063923,0.2937484209659059,0.5611325611325612,21,20,41,0.0205,binary_10_40,41.0,0.5611325611325612,0.0,0.43886743886743884
development,600519,2018-01-02,2024-12-31,1699,0.282896992707665,0.03764137605364293,0.21021392643145764,0.2808945101092456,-0.42331517363965787,0.08892045076013437,1.5030073746055472,0.14577915296999455,0.30603748152863786,0.5973682209630381,-0.4748220820330922,0.3070184780492889,-0.10813777691635162,-0.3164737108537925,0.0515069083934343,0.5226603884638023,24,24,48,0.024,binary_10_40,48.0,0.5226603884638023,0.0,0.47733961153619775
development,600036,2018-01-02,2024-12-31,1699,-0.16229000402572402,-0.02592350951699507,0.20675079840821858,-0.024098868626557683,-0.362151189065964,-0.07158200856348212,0.7728174603174589,0.08863546837137193,0.2925257405941507,0.43598143859487015,-0.5093405356740941,0.1740200556668164,-0.114558977888367,-0.46008030722142784,0.1471893466081301,0.51854031783402,29,29,58,0.029,binary_10_40,58.0,0.51854031783402,0.0,0.48145968216598
development,000001,2018-01-02,2024-12-31,1699,-0.2491926824563988,-0.04161927597116444,0.23356923218963072,-0.06572426113457795,-0.5162450985180066,-0.08061921767517326,0.05697445972495485,0.00825249839409481,0.32012250780489054,0.18483709107142082,-0.623138033763654,0.013243451606141004,-0.04987177436525925,-0.2505613522059988,0.10689293524564736,0.4714537963507946,25,25,50,0.025,binary_10_40,50.0,0.4714537963507946,0.0,0.5285462036492055
development,000002,2018-01-02,2024-12-31,1699,-0.7544278973077015,-0.18801164114137958,0.24940185079033372,-0.7106011007186211,-0.8436021927896217,-0.222867653437058,-0.6906689390711538,-0.15973103673827094,0.37105871283913594,-0.28488979603605985,-0.7998712998712993,-0.19969592203642253,-0.028280604403108645,-0.4257113046825613,-0.04373089291832233,0.39846968805179517,29,29,58,0.029,binary_10_40,58.0,0.39846968805179517,0.0,0.6015303119482048
