incremental_state,observation_count,stock_count,average_position_increment,average_asset_return,incremental_gross_return_sum,incremental_transaction_cost_sum,incremental_net_return_sum,incremental_log_return_sum,positive_incremental_day_rate
added_exposure_up,699,5,0.3,0.017010837438458104,3.5671726108446644,0.029549999999999996,3.5376226108446645,3.5191781475097192,0.9971387696709585
added_exposure_flat,35,5,0.3,0.0,0.0,0.0018,-0.0018,-0.0018001350135015185,0.0
same_exposure,6818,5,0.0,0.0005616261896024569,0.0,0.03194999999999999,-0.03194999999999999,-0.03195248630561191,0.015693751833382223
added_exposure_down,798,5,0.3,-0.01418030331692975,-3.394764614072982,0.030449999999999998,-3.4252146140729822,-3.4374051883333,0.0
